"","Date","Year","Round","Region","wSeed","Winner","WConf","WScore","LSeed","Loser","LConf","LScore","OT","SeD","ScD","Upset"
"455","18-Mar-10",2010,"64","West",7,"BYU","WCC",99,10,"Florida","SEC",92,"2 OT",-3,7,"7 over 10"
"456","13-Mar-07",2007,"Play-in","West",16,"Niagara","MAAC",77,16,"Florida A&M","MEAC",69,"",0,8,"16 over 16"
"457","19-Mar-04",2004,"64","Midwest",1,"Kentucky","SEC",96,16,"Florida A&M","MEAC",76,"",-15,20,"1 over 16"
"458","12-Mar-99",1999,"64","East",1,"Duke","ACC",99,16,"Florida A&M","MEAC",58,"",-15,41,"1 over 16"
"459","14-Mar-02",2002,"64","South",2,"Alabama","SEC",86,15,"Florida Atlantic","CUSA",78,"",-13,8,"2 over 15"
"460","16-Mar-17",2017,"64","West",3,"Florida St.","ACC",86,14,"Florida Gulf Coast","ASun",80,"",-11,6,"3 over 14"
"461","29-Mar-13",2013,"16","South",3,"Florida","SEC",62,15,"Florida Gulf Coast","ASun",50,"",-12,12,"3 over 15"
"462","17-Mar-16",2016,"64","East",1,"North Carolina","ACC",83,16,"Florida Gulf Coast","ASun",67,"",-15,16,"1 over 16"
"463","17-Mar-95",1995,"64","West",1,"UCLA","P12",92,16,"Florida International",NA,56,"",-15,36,"1 over 16"
"464","25-Mar-11",2011,"16","Southwest",11,"VCU","A10",72,10,"Florida St.","ACC",71,"1 OT",1,1,"11 over 10"
"465","19-Mar-10",2010,"64","West",8,"Gonzaga","WCC",67,9,"Florida St.","ACC",60,"",-1,7,"8 over 9"
"466","18-Mar-12",2012,"32","East",6,"Cincinnati","Amer",62,3,"Florida St.","ACC",56,"",3,6,"6 over 3"
"467","20-Mar-09",2009,"64","East",12,"Wisconsin","B10",61,5,"Florida St.","ACC",59,"1 OT",7,2,"12 over 5"
"468","15-Mar-98",1998,"32","Midwest",13,"Valparaiso","Horz",83,12,"Florida St.","ACC",77,"1 OT",1,6,"13 over 12"
"469","16-Mar-91",1991,"32","Southeast",2,"Indiana","B10",82,7,"Florida St.","ACC",60,"",-5,22,"2 over 7"
"470","18-Mar-17",2017,"32","West",11,"Xavier","BE",91,3,"Florida St.","ACC",66,"",8,25,"11 over 3"
"471","26-Mar-92",1992,"16","West",2,"Indiana","B10",85,3,"Florida St.","ACC",74,"",-1,11,"2 over 3"
"472","16-Mar-89",1989,"64","Southeast",13,"Middle Tennessee","CUSA",97,4,"Florida St.","ACC",83,"",9,14,"13 over 4"
"473","27-Mar-93",1993,"8","Southeast",1,"Kentucky","SEC",106,3,"Florida St.","ACC",81,"",-2,25,"1 over 3"
"474","18-Mar-88",1988,"64","West",5,"Iowa","B10",102,12,"Florida St.","ACC",98,"",-7,4,"5 over 12"
"475","20-Mar-92",1992,"64","East",3,"Massachusetts","A10",85,14,"Fordham","A10",58,"",-11,27,"3 over 14"
"476","17-Mar-16",2016,"64","Midwest",3,"Utah","P12",80,14,"Fresno St.","MWC",69,"",-11,11,"3 over 14"
"477","16-Mar-00",2000,"64","West",8,"Wisconsin","B10",66,9,"Fresno St.","MWC",56,"",-1,10,"8 over 9"
"478","18-Mar-01",2001,"32","South",1,"Michigan St.","B10",81,9,"Fresno St.","MWC",65,"",-8,16,"1 over 9"
"479","17-Mar-89",1989,"64","West",2,"Indiana","B10",99,15,"George Mason","A10",85,"",-13,14,"2 over 15"
"480","1-Apr-06",2006,"4","Final Four",3,"Florida","SEC",73,11,"George Mason","A10",58,"",-8,15,"3 over 11"
"481","20-Mar-08",2008,"64","East",5,"Notre Dame","ACC",68,12,"George Mason","A10",50,"",-7,18,"5 over 12"
"482","12-Mar-99",1999,"64","East",3,"Cincinnati","Amer",72,14,"George Mason","A10",48,"",-11,24,"3 over 14"
"483","15-Mar-01",2001,"64","West",3,"Maryland","B10",83,14,"George Mason","A10",80,"",-11,3,"3 over 14"
"484","20-Mar-11",2011,"32","East",1,"Ohio St.","B10",98,8,"George Mason","A10",66,"",-7,32,"1 over 8"
"485","11-Mar-99",1999,"64","South",6,"Indiana","B10",108,11,"George Washington","A10",88,"",-5,20,"6 over 11"
"486","19-Mar-94",1994,"32","East",2,"Connecticut","Amer",75,10,"George Washington","A10",63,"",-8,12,"2 over 10"
"487","18-Mar-05",2005,"64","West",5,"Georgia Tech","ACC",80,12,"George Washington","A10",68,"",-7,12,"5 over 12"
"488","13-Mar-98",1998,"64","South",8,"Oklahoma St.","B12",74,9,"George Washington","A10",59,"",-1,15,"8 over 9"
"489","21-Mar-14",2014,"64","East",8,"Memphis","Amer",71,9,"George Washington","A10",66,"",-1,5,"8 over 9"
"490","15-Mar-07",2007,"64","East",6,"Vanderbilt","SEC",77,11,"George Washington","A10",44,"",-5,33,"6 over 11"
"491","18-Mar-06",2006,"32","South",1,"Duke","ACC",74,8,"George Washington","A10",61,"",-7,13,"1 over 8"
"492","15-Mar-96",1996,"64","West",6,"Iowa","B10",81,11,"George Washington","A10",79,"",-5,2,"6 over 11"
"493","26-Mar-93",1993,"16","West",1,"Michigan","B10",72,12,"George Washington","A10",64,"",-11,8,"1 over 12"
"494","21-Mar-92",1992,"32","West",3,"Florida St.","ACC",78,6,"Georgetown","BE",68,"",-3,10,"3 over 6"
"495","21-Mar-15",2015,"32","South",5,"Utah","P12",75,4,"Georgetown","BE",64,"",1,11,"5 over 4"
"496","23-Mar-08",2008,"32","Midwest",10,"Davidson","A10",74,2,"Georgetown","BE",70,"",8,4,"10 over 2"
"497","18-Mar-12",2012,"32","Midwest",11,"North Carolina St.","ACC",66,3,"Georgetown","BE",63,"",8,3,"11 over 3"
"498","23-Mar-96",1996,"8","East",1,"Massachusetts","A10",86,2,"Georgetown","BE",62,"",-1,24,"1 over 2"
"499","22-Mar-13",2013,"64","South",15,"Florida Gulf Coast","ASun",78,2,"Georgetown","BE",68,"",13,10,"15 over 2"
"500","1-Apr-85",1985,"Champ","Championship",8,"Villanova","BE",66,1,"Georgetown","BE",64,"",7,2,"8 over 1"
"501","14-Mar-97",1997,"64","West",7,"Charlotte","CUSA",79,10,"Georgetown","BE",67,"",-3,12,"7 over 10"
"502","15-Mar-86",1986,"32","Midwest",5,"Michigan St.","B10",80,4,"Georgetown","BE",68,"",1,12,"5 over 4"
"503","18-Mar-11",2011,"64","Southwest",11,"VCU","A10",74,6,"Georgetown","BE",56,"",5,18,"11 over 6"
"504","20-Mar-94",1994,"32","Midwest",1,"Arkansas","SEC",85,9,"Georgetown","BE",73,"",-8,12,"1 over 9"
"505","24-Mar-06",2006,"16","Midwest",3,"Florida","SEC",57,7,"Georgetown","BE",53,"",-4,4,"3 over 7"
"506","20-Mar-88",1988,"32","East",1,"Temple","Amer",74,8,"Georgetown","BE",53,"",-7,21,"1 over 8"
"507","18-Mar-10",2010,"64","Midwest",14,"Ohio","MAC",97,3,"Georgetown","BE",83,"",11,14,"14 over 3"
"508","31-Mar-07",2007,"4","Final Four",1,"Ohio St.","B10",67,2,"Georgetown","BE",60,"",-1,7,"1 over 2"
"509","17-Mar-91",1991,"32","West",1,"UNLV","MWC",62,8,"Georgetown","BE",54,"",-7,8,"1 over 8"
"510","21-Mar-87",1987,"8","Southeast",6,"Providence","BE",88,1,"Georgetown","BE",73,"",5,15,"6 over 1"
"511","26-Mar-89",1989,"8","East",2,"Duke","ACC",85,1,"Georgetown","BE",77,"",1,8,"2 over 1"
"512","18-Mar-90",1990,"32","Midwest",6,"Xavier","BE",74,3,"Georgetown","BE",71,"",3,3,"6 over 3"
"513","22-Mar-01",2001,"16","West",3,"Maryland","B10",76,10,"Georgetown","BE",66,"",-7,10,"3 over 10"
"514","23-Mar-95",1995,"16","Southeast",2,"North Carolina","ACC",74,6,"Georgetown","BE",64,"",-4,10,"2 over 6"
"515","14-Mar-97",1997,"64","Southeast",14,"Chattanooga","SC",73,3,"Georgia","SEC",70,"",11,3,"14 over 3"
"516","18-Mar-11",2011,"64","East",7,"Washington","P12",68,10,"Georgia","SEC",65,"",-3,3,"7 over 10"
"517","22-Mar-96",1996,"16","West",4,"Syracuse","ACC",83,8,"Georgia","SEC",81,"1 OT",-4,2,"4 over 8"
"518","16-Mar-90",1990,"64","Midwest",10,"Texas","B12",100,7,"Georgia","SEC",88,"",3,12,"10 over 7"
"519","20-Mar-08",2008,"64","West",3,"Xavier","BE",73,14,"Georgia","SEC",61,"",-11,12,"3 over 14"
"520","20-Mar-15",2015,"64","East",7,"Michigan St.","B10",70,10,"Georgia","SEC",63,"",-3,7,"7 over 10"
"521","17-Mar-02",2002,"32","East",11,"Southern Illinois","MVC",77,3,"Georgia","SEC",75,"",8,2,"11 over 3"
"522","17-Mar-85",1985,"32","East",3,"Illinois","B10",74,6,"Georgia","SEC",58,"",-3,16,"3 over 6"
"523","12-Mar-87",1987,"64","West",9,"Kansas St.","B12",82,8,"Georgia","SEC",79,"1 OT",1,3,"9 over 8"
"524","14-Mar-91",1991,"64","Southeast",6,"Pittsburgh","ACC",76,11,"Georgia","SEC",68,"1 OT",-5,8,"6 over 11"
"525","15-Mar-01",2001,"64","East",9,"Missouri","SEC",70,8,"Georgia","SEC",68,"",1,2,"9 over 8"
"526","13-Mar-87",1987,"64","East",2,"Syracuse","ACC",79,15,"Georgia Southern","SB",73,"",-13,6,"2 over 15"
"527","20-Mar-92",1992,"64","Southeast",2,"Oklahoma St.","B12",100,15,"Georgia Southern","SB",73,"",-13,27,"2 over 15"
"528","17-Mar-01",2001,"32","West",3,"Maryland","B10",79,11,"Georgia St.","SB",60,"",-8,19,"3 over 11"
"529","21-Mar-15",2015,"32","West",6,"Xavier","BE",75,14,"Georgia St.","SB",67,"",-8,8,"6 over 14"
"530","15-Mar-91",1991,"64","Southeast",1,"Arkansas","SEC",117,16,"Georgia St.","SB",76,"",-15,41,"1 over 16"
"531","16-Mar-07",2007,"64","Midwest",7,"UNLV","MWC",67,10,"Georgia Tech","ACC",63,"",-3,4,"7 over 10"
"532","20-Mar-88",1988,"32","East",13,"Richmond","A10",59,5,"Georgia Tech","ACC",55,"",8,4,"13 over 5"
"533","20-Mar-05",2005,"32","West",4,"Louisville","ACC",76,5,"Georgia Tech","ACC",54,"",-1,22,"4 over 5"
"534","17-Mar-89",1989,"64","Midwest",11,"Texas","B12",76,6,"Georgia Tech","ACC",70,"",5,6,"11 over 6"
"535","22-Mar-96",1996,"16","Southeast",2,"Cincinnati","Amer",87,3,"Georgia Tech","ACC",70,"",-1,17,"2 over 3"
"536","20-Mar-86",1986,"16","Southeast",11,"LSU","SEC",70,2,"Georgia Tech","ACC",64,"",9,6,"11 over 2"
"537","19-Mar-93",1993,"64","West",13,"Southern","SWAC",93,4,"Georgia Tech","ACC",78,"",9,15,"13 over 4"
"538","21-Mar-10",2010,"32","Midwest",2,"Ohio St.","B10",75,10,"Georgia Tech","ACC",66,"",-8,9,"2 over 10"
"539","31-Mar-90",1990,"4","Final Four",1,"UNLV","MWC",90,4,"Georgia Tech","ACC",81,"",-3,9,"1 over 4"
"540","17-Mar-91",1991,"32","Midwest",1,"Ohio St.","B10",65,8,"Georgia Tech","ACC",61,"",-7,4,"1 over 8"
"541","13-Mar-87",1987,"64","Midwest",10,"LSU","SEC",85,7,"Georgia Tech","ACC",79,"",3,6,"10 over 7"
"542","5-Apr-04",2004,"Champ","Championship",2,"Connecticut","Amer",82,3,"Georgia Tech","ACC",73,"",-1,9,"2 over 3"
"543","23-Mar-85",1985,"8","East",1,"Georgetown","BE",60,2,"Georgia Tech","ACC",54,"",-1,6,"1 over 2"
"544","15-Mar-01",2001,"64","West",9,"Saint Joseph's","A10",66,8,"Georgia Tech","ACC",62,"",1,4,"9 over 8"
"545","27-Mar-92",1992,"16","Midwest",6,"Memphis","Amer",83,7,"Georgia Tech","ACC",79,"1 OT",-1,4,"6 over 7"
"546","14-Mar-02",2002,"64","West",11,"Wyoming","MWC",73,6,"Gonzaga","WCC",66,"",5,7,"11 over 6"
"547","15-Mar-07",2007,"64","West",7,"Indiana","B10",70,10,"Gonzaga","WCC",57,"",-3,13,"7 over 10"
"548","23-Mar-06",2006,"16","West",2,"UCLA","P12",73,3,"Gonzaga","WCC",71,"",-1,2,"2 over 3"
"549","21-Mar-10",2010,"32","West",1,"Syracuse","ACC",87,8,"Gonzaga","WCC",65,"",-7,22,"1 over 8"
"550","23-Mar-01",2001,"16","South",1,"Michigan St.","B10",77,12,"Gonzaga","WCC",62,"",-11,15,"1 over 12"
"551","19-Mar-05",2005,"32","West",6,"Texas Tech","B12",71,3,"Gonzaga","WCC",69,"",3,2,"6 over 3"
"552","23-Mar-13",2013,"32","West",9,"Wichita St.","MVC",76,1,"Gonzaga","WCC",70,"",8,6,"9 over 1"
"553","23-Mar-14",2014,"32","West",1,"Arizona","P12",84,8,"Gonzaga","WCC",61,"",-7,23,"1 over 8"
"554","17-Mar-12",2012,"32","East",2,"Ohio St.","B10",73,7,"Gonzaga","WCC",66,"",-5,7,"2 over 7"
"555","25-Mar-16",2016,"16","Midwest",10,"Syracuse","ACC",63,11,"Gonzaga","WCC",60,"",-1,3,"10 over 11"
"556","20-Mar-99",1999,"8","West",1,"Connecticut","Amer",67,10,"Gonzaga","WCC",62,"",-9,5,"1 over 10"
"557","23-Mar-00",2000,"16","West",6,"Purdue","B10",75,10,"Gonzaga","WCC",66,"",-4,9,"6 over 10"
"558","21-Mar-08",2008,"64","Midwest",10,"Davidson","A10",82,7,"Gonzaga","WCC",76,"",3,6,"10 over 7"
"559","19-Mar-11",2011,"32","Southeast",3,"BYU","WCC",89,11,"Gonzaga","WCC",67,"",-8,22,"3 over 11"
"560","22-Mar-03",2003,"32","West",1,"Arizona","P12",96,9,"Gonzaga","WCC",95,"2 OT",-8,1,"1 over 9"
"561","29-Mar-15",2015,"8","South",1,"Duke","ACC",66,2,"Gonzaga","WCC",52,"",-1,14,"1 over 2"
"562","27-Mar-09",2009,"16","South",1,"North Carolina","ACC",98,4,"Gonzaga","WCC",77,"",-3,21,"1 over 4"
"563","20-Mar-04",2004,"32","Midwest",10,"Nevada","MWC",91,2,"Gonzaga","WCC",72,"",8,19,"10 over 2"
"564","16-Mar-95",1995,"64","West",3,"Maryland","B10",87,14,"Gonzaga","WCC",63,"",-11,24,"3 over 14"
"565","3-Apr-17",2017,"Champ","",1,"North Carolina","ACC",71,1,"Gonzaga","WCC",65,"",0,6,"1 over 1"
"566","14-Mar-96",1996,"64","Midwest",9,"Virginia Tech","ACC",61,8,"Green Bay","Horz",48,"",1,13,"9 over 8"
"567","19-Mar-94",1994,"32","West",4,"Syracuse","ACC",64,12,"Green Bay","Horz",59,"",-8,5,"4 over 12"
"568","18-Mar-16",2016,"64","West",3,"Texas A&M","SEC",92,14,"Green Bay","Horz",65,"",-11,27,"3 over 14"
"569","17-Mar-95",1995,"64","Midwest",3,"Purdue","B10",49,14,"Green Bay","Horz",48,"",-11,1,"3 over 14"
"570","15-Mar-91",1991,"64","West",5,"Michigan St.","B10",60,12,"Green Bay","Horz",58,"",-7,2,"5 over 12"
"571","17-Mar-01",2001,"32","West",10,"Georgetown","BE",76,15,"Hampton","MEAC",57,"",-5,19,"10 over 15"
"572","17-Mar-16",2016,"64","Midwest",1,"Virginia","ACC",81,16,"Hampton","MEAC",45,"",-15,36,"1 over 16"
"573","19-Mar-15",2015,"64","Midwest",1,"Kentucky","SEC",79,16,"Hampton","MEAC",56,"",-15,23,"1 over 16"
"574","15-Mar-02",2002,"64","East",2,"Connecticut","Amer",78,15,"Hampton","MEAC",67,"",-13,11,"2 over 15"
"575","18-Mar-11",2011,"64","West",1,"Duke","ACC",87,16,"Hampton","MEAC",45,"",-15,42,"1 over 16"
"576","14-Mar-06",2006,"Play-in","Midwest",16,"Monmouth","MAAC",71,16,"Hampton","MEAC",49,"",0,22,"16 over 16"
"577","23-Mar-13",2013,"32","West",6,"Arizona","P12",74,14,"Harvard","Ivy",51,"",-8,23,"6 over 14"
"578","22-Mar-14",2014,"32","East",4,"Michigan St.","B10",80,12,"Harvard","Ivy",73,"",-8,7,"4 over 12"
"579","19-Mar-15",2015,"64","West",4,"North Carolina","ACC",67,13,"Harvard","Ivy",65,"",-9,2,"4 over 13"
"580","15-Mar-12",2012,"64","East",5,"Vanderbilt","SEC",79,12,"Harvard","Ivy",70,"",-7,9,"5 over 12"
"581","20-Mar-16",2016,"32","South",5,"Maryland","B10",73,13,"Hawaii","BW",60,"",-8,13,"5 over 13"
"582","17-Mar-94",1994,"64","West",4,"Syracuse","ACC",92,13,"Hawaii","BW",78,"",-9,14,"4 over 13"
"583","15-Mar-02",2002,"64","West",7,"Xavier","BE",70,10,"Hawaii","BW",58,"",-3,12,"7 over 10"
"584","16-Mar-01",2001,"64","Midwest",5,"Syracuse","ACC",79,12,"Hawaii","BW",69,"",-7,10,"5 over 12"
"585","15-Mar-01",2001,"64","East",4,"UCLA","P12",61,13,"Hofstra","CAA",48,"",-9,13,"4 over 13"
"586","17-Mar-00",2000,"64","East",3,"Oklahoma St.","B12",86,14,"Hofstra","CAA",66,"",-11,20,"3 over 14"
"587","20-Mar-03",2003,"64","Midwest",3,"Marquette","BE",72,14,"Holy Cross","Pat",68,"",-11,4,"3 over 14"
"588","18-Mar-93",1993,"64","East",4,"Arkansas","SEC",94,13,"Holy Cross","Pat",64,"",-9,30,"4 over 13"
"589","18-Mar-16",2016,"64","West",1,"Oregon","P12",91,16,"Holy Cross","Pat",52,"",-15,39,"1 over 16"
"590","14-Mar-02",2002,"64","Midwest",1,"Kansas","B12",70,16,"Holy Cross","Pat",59,"",-15,11,"1 over 16"
"591","15-Mar-01",2001,"64","East",2,"Kentucky","SEC",72,15,"Holy Cross","Pat",68,"",-13,4,"2 over 15"
"592","16-Mar-07",2007,"64","West",4,"Southern Illinois","MVC",61,13,"Holy Cross","Pat",51,"",-9,10,"4 over 13"
"593","19-Mar-10",2010,"64","Midwest",4,"Maryland","B10",89,13,"Houston","Amer",77,"",-9,12,"4 over 13"
"594","15-Mar-90",1990,"64","Southeast",9,"UC Santa Barbara","BW",70,8,"Houston","Amer",66,"",1,4,"9 over 8"
"595","13-Mar-87",1987,"64","Southeast",5,"Kansas","B12",66,12,"Houston","Amer",55,"",-7,11,"5 over 12"
"596","19-Mar-92",1992,"64","Midwest",7,"Georgia Tech","ACC",65,10,"Houston","Amer",60,"",-3,5,"7 over 10"
"597","20-Mar-92",1992,"64","Midwest",1,"Kansas","B12",100,16,"Howard","MEAC",67,"",-15,33,"1 over 16"
"598","16-Mar-89",1989,"64","West",4,"UNLV","MWC",68,13,"Idaho","BSky",56,"",-9,12,"4 over 13"
"599","15-Mar-90",1990,"64","West",4,"Louisville","ACC",78,13,"Idaho","BSky",59,"",-9,19,"4 over 13"
"600","12-Mar-87",1987,"64","West",1,"UNLV","MWC",95,16,"Idaho St.","BSky",70,"",-15,25,"1 over 16"
"601","20-Mar-88",1988,"32","Southeast",6,"Villanova","BE",66,3,"Illinois","B10",63,"",3,3,"6 over 3"
"602","4-Apr-05",2005,"Champ","Championship",1,"North Carolina","ACC",75,1,"Illinois","B10",70,"",0,5,"1 over 1"
"603","18-Mar-06",2006,"32","East",5,"Washington","P12",67,4,"Illinois","B10",64,"",1,3,"5 over 4"
"604","16-Mar-86",1986,"32","Southeast",5,"Alabama","SEC",58,4,"Illinois","B10",56,"",1,2,"5 over 4"
"605","17-Mar-95",1995,"64","East",6,"Tulsa","Amer",68,11,"Illinois","B10",62,"",-5,6,"6 over 11"
"606","12-Mar-87",1987,"64","Southeast",14,"Austin Peay","OVC",68,3,"Illinois","B10",67,"",11,1,"14 over 3"
"607","22-Mar-02",2002,"16","Midwest",1,"Kansas","B12",73,4,"Illinois","B10",69,"",-3,4,"1 over 4"
"608","21-Mar-85",1985,"16","East",2,"Georgia Tech","ACC",61,3,"Illinois","B10",53,"",-1,8,"2 over 3"
"609","19-Mar-09",2009,"64","South",12,"Western Kentucky","CUSA",76,5,"Illinois","B10",72,"",7,4,"12 over 5"
"610","14-Mar-98",1998,"32","West",4,"Maryland","B10",67,5,"Illinois","B10",61,"",-1,6,"4 over 5"
"611","26-Mar-04",2004,"16","South",1,"Duke","ACC",72,5,"Illinois","B10",62,"",-4,10,"1 over 5"
"612","19-Mar-00",2000,"32","East",5,"Florida","SEC",93,4,"Illinois","B10",76,"",1,17,"5 over 4"
"613","16-Mar-07",2007,"64","West",5,"Virginia Tech","ACC",54,12,"Illinois","B10",52,"",-7,2,"5 over 12"
"614","24-Mar-13",2013,"32","East",2,"Miami FL","ACC",63,7,"Illinois","B10",59,"",-5,4,"2 over 7"
"615","20-Mar-93",1993,"32","West",3,"Vanderbilt","SEC",85,6,"Illinois","B10",68,"",-3,17,"3 over 6"
"616","20-Mar-11",2011,"32","Southwest",1,"Kansas","B12",73,9,"Illinois","B10",59,"",-8,14,"1 over 9"
"617","25-Mar-01",2001,"8","Midwest",2,"Arizona","P12",87,1,"Illinois","B10",81,"",1,6,"2 over 1"
"618","15-Mar-90",1990,"64","Midwest",12,"Dayton","A10",88,5,"Illinois","B10",86,"",7,2,"12 over 5"
"619","22-Mar-03",2003,"32","West",5,"Notre Dame","ACC",68,4,"Illinois","B10",60,"",1,8,"5 over 4"
"620","16-Mar-97",1997,"32","Southeast",14,"Chattanooga","SC",75,6,"Illinois","B10",63,"",8,12,"14 over 6"
"621","18-Mar-94",1994,"64","Midwest",9,"Georgetown","BE",84,8,"Illinois","B10",77,"",1,7,"9 over 8"
"622","1-Apr-89",1989,"4","Final Four",3,"Michigan","B10",83,1,"Illinois","B10",81,"",2,2,"3 over 1"
"623","15-Mar-02",2002,"64","West",2,"Oklahoma","B12",71,15,"Illinois Chicago","Horz",63,"",-13,8,"2 over 15"
"624","19-Mar-04",2004,"64","Midwest",4,"Kansas","B12",78,13,"Illinois Chicago","Horz",53,"",-9,25,"4 over 13"
"625","12-Mar-98",1998,"64","East",8,"Charlotte","CUSA",77,9,"Illinois Chicago","Horz",62,"",-1,15,"8 over 9"
"626","16-Mar-90",1990,"64","West",3,"Michigan","B10",76,14,"Illinois St.","MVC",70,"",-11,6,"3 over 14"
"627","16-Mar-85",1985,"32","Midwest",1,"Oklahoma","B12",75,9,"Illinois St.","MVC",69,"",-8,6,"1 over 9"
"628","14-Mar-98",1998,"32","West",1,"Arizona","P12",82,9,"Illinois St.","MVC",49,"",-8,33,"1 over 9"
"629","13-Mar-97",1997,"64","Midwest",6,"Iowa St.","B12",69,11,"Illinois St.","MVC",57,"",-5,12,"6 over 11"
"630","13-Mar-97",1997,"64","East",9,"Colorado","P12",80,8,"Indiana","B10",62,"",1,18,"9 over 8"
"631","15-Mar-01",2001,"64","West",13,"Kent St.","MAC",77,4,"Indiana","B10",73,"",9,4,"13 over 4"
"632","21-Mar-91",1991,"16","Southeast",3,"Kansas","B12",83,2,"Indiana","B10",65,"",1,18,"3 over 2"
"633","17-Mar-00",2000,"64","East",11,"Pepperdine","WCC",77,6,"Indiana","B10",57,"",5,20,"11 over 6"
"634","15-Mar-96",1996,"64","Southeast",11,"Boston College","ACC",64,6,"Indiana","B10",51,"",5,13,"11 over 6"
"635","14-Mar-86",1986,"64","East",14,"Cleveland St.","Horz",83,3,"Indiana","B10",79,"",11,4,"14 over 3"
"636","23-Mar-03",2003,"32","Midwest",2,"Pittsburgh","ACC",74,7,"Indiana","B10",52,"",-5,22,"2 over 7"
"637","23-Mar-12",2012,"16","South",1,"Kentucky","SEC",102,4,"Indiana","B10",90,"",-3,12,"1 over 4"
"638","21-Mar-08",2008,"64","East",9,"Arkansas","SEC",86,8,"Indiana","B10",72,"",1,14,"9 over 8"
"639","4-Apr-92",1992,"4","Final Four",1,"Duke","ACC",81,2,"Indiana","B10",78,"",-1,3,"1 over 2"
"640","20-Mar-15",2015,"64","Midwest",7,"Wichita St.","MVC",81,10,"Indiana","B10",76,"",-3,5,"7 over 10"
"641","17-Mar-95",1995,"64","West",8,"Missouri","SEC",65,9,"Indiana","B10",60,"",-1,5,"8 over 9"
"642","17-Mar-07",2007,"32","West",2,"UCLA","P12",54,7,"Indiana","B10",49,"",-5,5,"2 over 7"
"643","18-Mar-06",2006,"32","West",3,"Gonzaga","WCC",90,6,"Indiana","B10",80,"",-3,10,"3 over 6"
"644","25-Mar-16",2016,"16","East",1,"North Carolina","ACC",101,5,"Indiana","B10",86,"",-4,15,"1 over 5"
"645","13-Mar-99",1999,"32","South",3,"St. John's","BE",86,6,"Indiana","B10",61,"",-3,25,"3 over 6"
"646","27-Mar-93",1993,"8","Midwest",2,"Kansas","B12",83,1,"Indiana","B10",77,"",1,6,"2 over 1"
"647","23-Mar-89",1989,"16","West",3,"Seton Hall","BE",78,2,"Indiana","B10",65,"",1,13,"3 over 2"
"648","15-Mar-90",1990,"64","East",9,"California","P12",65,8,"Indiana","B10",63,"",1,2,"9 over 8"
"649","18-Mar-88",1988,"64","East",13,"Richmond","A10",72,4,"Indiana","B10",69,"",9,3,"13 over 4"
"650","28-Mar-13",2013,"16","East",4,"Syracuse","ACC",61,1,"Indiana","B10",50,"",3,11,"4 over 1"
"651","14-Mar-98",1998,"32","East",2,"Connecticut","Amer",78,7,"Indiana","B10",68,"",-5,10,"2 over 7"
"652","25-Mar-94",1994,"16","East",9,"Boston College","ACC",77,5,"Indiana","B10",68,"",4,9,"9 over 5"
"653","1-Apr-02",2002,"Champ","Championship",1,"Maryland","B10",64,5,"Indiana","B10",52,"",-4,12,"1 over 5"
"654","18-Mar-01",2001,"32","South",12,"Gonzaga","WCC",85,13,"Indiana St.","MVC",68,"",-1,17,"12 over 13"
"655","18-Mar-11",2011,"64","East",3,"Syracuse","ACC",77,14,"Indiana St.","MVC",60,"",-11,17,"3 over 14"
"656","16-Mar-00",2000,"64","West",5,"Texas","B12",77,12,"Indiana St.","MVC",61,"",-7,16,"5 over 12"
"657","22-Mar-13",2013,"64","West",2,"Ohio St.","B10",95,15,"Iona","MAAC",70,"",-13,25,"2 over 15"
"658","17-Mar-16",2016,"64","Midwest",4,"Iowa St.","B12",94,13,"Iona","MAAC",81,"",-9,13,"4 over 13"
"659","17-Mar-17",2017,"64","Midwest",3,"Oregon","P12",93,14,"Iona","MAAC",77,"",-11,16,"3 over 14"
"660","13-Mar-98",1998,"64","South",5,"Syracuse","ACC",63,12,"Iona","MAAC",61,"",-7,2,"5 over 12"
"661","13-Mar-12",2012,"Play-in","West",14,"BYU","WCC",78,14,"Iona","MAAC",72,"",0,6,"14 over 14"
"662","16-Mar-01",2001,"64","Midwest",3,"Mississippi","SEC",72,14,"Iona","MAAC",70,"",-11,2,"3 over 14"
"663","16-Mar-06",2006,"64","South",4,"LSU","SEC",80,13,"Iona","MAAC",64,"",-9,16,"4 over 13"
"664","14-Mar-85",1985,"64","East",4,"Loyola Chicago","MVC",59,13,"Iona","MAAC",58,"",-9,1,"4 over 13"
"665","16-Mar-00",2000,"64","Midwest",3,"Maryland","B10",74,14,"Iona","MAAC",59,"",-11,15,"3 over 14"
"666","21-Mar-92",1992,"32","East",1,"Duke","ACC",75,9,"Iowa","B10",62,"",-8,13,"1 over 9"
"667","14-Mar-85",1985,"64","West",9,"Arkansas","SEC",63,8,"Iowa","B10",54,"",1,9,"9 over 8"
"668","17-Mar-06",2006,"64","South",14,"Northwestern St.","Slnd",64,3,"Iowa","B10",63,"",11,1,"14 over 3"
"669","17-Mar-01",2001,"32","East",2,"Kentucky","SEC",92,7,"Iowa","B10",79,"",-5,13,"2 over 7"
"670","14-Mar-86",1986,"64","Midwest",6,"North Carolina St.","ACC",66,11,"Iowa","B10",64,"",-5,2,"6 over 11"
"671","22-Mar-87",1987,"8","West",1,"UNLV","MWC",84,2,"Iowa","B10",81,"",-1,3,"1 over 2"
