"","Date","Year","Round","Region","wSeed","Winner","WConf","WScore","LSeed","Loser","LConf","LScore","OT","SeD","ScD","Upset"
"50","19-Mar-06",2006,"32","Midwest",1,"Villanova","BE",82,8,"Arizona","P12",78,"",-7,4,"1 over 8"
"51","18-Mar-90",1990,"32","West",7,"Alabama","SEC",77,2,"Arizona","P12",55,"",5,22,"7 over 2"
"52","16-Mar-95",1995,"64","Midwest",12,"Miami OH","MAC",71,5,"Arizona","P12",62,"",7,9,"12 over 5"
"53","26-Mar-05",2005,"8","Midwest",1,"Illinois","B10",90,3,"Arizona","P12",89,"1 OT",-2,1,"1 over 3"
"54","2-Apr-01",2001,"Champ","Championship",1,"Duke","ACC",82,2,"Arizona","P12",72,"",-1,10,"1 over 2"
"55","2-Apr-94",1994,"4","Final Four",1,"Arkansas","SEC",91,2,"Arizona","P12",82,"",-1,9,"1 over 2"
"56","26-Mar-11",2011,"8","West",3,"Connecticut","Amer",65,5,"Arizona","P12",63,"",-2,2,"3 over 5"
"57","18-Mar-04",2004,"64","South",8,"Seton Hall","BE",80,9,"Arizona","P12",76,"",-1,4,"8 over 9"
"58","14-Mar-86",1986,"64","West",8,"Auburn","SEC",73,9,"Arizona","P12",63,"",-1,10,"8 over 9"
"59","18-Mar-93",1993,"64","West",15,"Santa Clara","WCC",64,2,"Arizona","P12",61,"",13,3,"15 over 2"
"60","22-Mar-96",1996,"16","West",2,"Kansas","B12",83,3,"Arizona","P12",80,"",-1,3,"2 over 3"
"61","29-Mar-14",2014,"8","West",2,"Wisconsin","B10",64,1,"Arizona","P12",63,"1 OT",1,1,"2 over 1"
"62","20-Mar-92",1992,"64","Southeast",14,"East Tennessee St.","SC",87,3,"Arizona","P12",80,"",11,7,"14 over 3"
"63","28-Mar-15",2015,"8","West",1,"Wisconsin","B10",85,2,"Arizona","P12",78,"",-1,7,"1 over 2"
"64","23-Mar-17",2017,"16","West",11,"Xavier","BE",73,2,"Arizona","P12",71,"",9,2,"11 over 2"
"65","23-Mar-89",1989,"16","West",4,"UNLV","MWC",68,1,"Arizona","P12",67,"",3,1,"4 over 1"
"66","2-Apr-88",1988,"4","Final Four",1,"Oklahoma","B12",86,1,"Arizona","P12",78,"",0,8,"1 over 1"
"67","15-Mar-85",1985,"64","West",7,"Alabama","SEC",50,10,"Arizona","P12",41,"",-3,9,"7 over 10"
"68","17-Mar-91",1991,"32","Southeast",1,"Arkansas","SEC",97,8,"Arizona St.","P12",90,"",-7,7,"1 over 8"
"69","22-Mar-03",2003,"32","West",2,"Kansas","B12",108,10,"Arizona St.","P12",76,"",-8,32,"2 over 10"
"70","20-Mar-14",2014,"64","Midwest",7,"Texas","B12",87,10,"Arizona St.","P12",85,"",-3,2,"7 over 10"
"71","22-Mar-09",2009,"32","South",3,"Syracuse","ACC",78,6,"Arizona St.","P12",67,"",-3,11,"3 over 6"
"72","23-Mar-95",1995,"16","Southeast",1,"Kentucky","SEC",97,5,"Arizona St.","P12",73,"",-4,24,"1 over 5"
"73","21-Mar-15",2015,"32","West",4,"North Carolina","ACC",87,5,"Arkansas","SEC",78,"",-1,9,"4 over 5"
"74","19-Mar-17",2017,"32","South",1,"North Carolina","ACC",72,8,"Arkansas","SEC",65,"",-7,7,"1 over 8"
"75","23-Mar-91",1991,"8","Southeast",3,"Kansas","B12",93,1,"Arkansas","SEC",81,"",2,12,"3 over 1"
"76","15-Mar-01",2001,"64","West",10,"Georgetown","BE",63,7,"Arkansas","SEC",61,"",3,2,"10 over 7"
"77","16-Mar-85",1985,"32","West",1,"St. John's","BE",68,9,"Arkansas","SEC",65,"",-8,3,"1 over 9"
"78","31-Mar-90",1990,"4","Final Four",3,"Duke","ACC",97,4,"Arkansas","SEC",83,"",-1,14,"3 over 4"
"79","26-Mar-93",1993,"16","East",1,"North Carolina","ACC",80,4,"Arkansas","SEC",74,"",-3,6,"1 over 4"
"80","23-Mar-08",2008,"32","East",1,"North Carolina","ACC",108,9,"Arkansas","SEC",77,"",-8,31,"1 over 9"
"81","16-Mar-07",2007,"64","East",5,"USC","P12",77,12,"Arkansas","SEC",60,"",-7,17,"5 over 12"
"82","21-Mar-92",1992,"32","Midwest",6,"Memphis","Amer",82,3,"Arkansas","SEC",80,"",3,2,"6 over 3"
"83","18-Mar-89",1989,"32","Midwest",4,"Louisville","ACC",93,5,"Arkansas","SEC",84,"",-1,9,"4 over 5"
"84","3-Apr-95",1995,"Champ","Championship",1,"UCLA","P12",89,2,"Arkansas","SEC",78,"",-1,11,"1 over 2"
"85","18-Mar-88",1988,"64","Southeast",6,"Villanova","BE",82,11,"Arkansas","SEC",74,"",-5,8,"6 over 11"
"86","17-Mar-06",2006,"64","West",9,"Bucknell","Pat",59,8,"Arkansas","SEC",55,"",1,4,"9 over 8"
"87","13-Mar-99",1999,"32","West",5,"Iowa","B10",82,4,"Arkansas","SEC",72,"",1,10,"5 over 4"
"88","21-Mar-96",1996,"16","East",1,"Massachusetts","A10",79,12,"Arkansas","SEC",63,"",-11,16,"1 over 12"
"89","14-Mar-98",1998,"32","West",3,"Utah","P12",75,6,"Arkansas","SEC",69,"",-3,6,"3 over 6"
"90","17-Mar-00",2000,"64","South",6,"Miami FL","ACC",75,11,"Arkansas","SEC",71,"",-5,4,"6 over 11"
"91","16-Mar-86",1986,"32","Midwest",6,"North Carolina St.","ACC",80,14,"Arkansas Little Rock","SB",66,"2 OT",-8,14,"6 over 14"
"92","16-Mar-89",1989,"64","Midwest",4,"Louisville","ACC",76,13,"Arkansas Little Rock","SB",71,"",-9,5,"4 over 13"
"93","19-Mar-16",2016,"32","Midwest",4,"Iowa St.","B12",78,12,"Arkansas Little Rock","SB",61,"",-8,17,"4 over 12"
"94","15-Mar-11",2011,"Play-in","Southeast",16,"UNC Asheville","BSth",81,16,"Arkansas Little Rock","SB",77,"1 OT",0,4,"16 over 16"
"95","15-Mar-90",1990,"64","West",1,"UNLV","MWC",102,16,"Arkansas Little Rock","SB",72,"",-15,30,"1 over 16"
"96","19-Mar-10",2010,"64","South",1,"Duke","ACC",73,16,"Arkansas Pine Bluff","SWAC",44,"",-15,29,"1 over 16"
"97","12-Mar-99",1999,"64","Midwest",2,"Utah","P12",80,15,"Arkansas St.","SB",58,"",-13,22,"2 over 15"
"98","19-Mar-88",1988,"32","Southeast",1,"Oklahoma","B12",107,8,"Auburn","SEC",87,"",-7,20,"1 over 8"
"99","18-Mar-99",1999,"16","South",4,"Ohio St.","B10",72,1,"Auburn","SEC",64,"",3,8,"4 over 1"
"100","18-Mar-00",2000,"32","Midwest",2,"Iowa St.","B12",79,7,"Auburn","SEC",60,"",-5,19,"2 over 7"
"101","14-Mar-87",1987,"32","Midwest",1,"Indiana","B10",107,8,"Auburn","SEC",90,"",-7,17,"1 over 8"
"102","28-Mar-03",2003,"16","East",3,"Syracuse","ACC",79,10,"Auburn","SEC",78,"",-7,1,"3 over 10"
"103","22-Mar-85",1985,"16","Southeast",2,"North Carolina","ACC",62,11,"Auburn","SEC",56,"",-9,6,"2 over 11"
"104","22-Mar-86",1986,"8","West",2,"Louisville","ACC",84,8,"Auburn","SEC",76,"",-6,8,"2 over 8"
"105","21-Mar-08",2008,"64","South",2,"Texas","B12",74,15,"Austin Peay","OVC",54,"",-13,20,"2 over 15"
"106","21-Mar-03",2003,"64","East",4,"Louisville","ACC",86,13,"Austin Peay","OVC",64,"",-9,22,"4 over 13"
"107","17-Mar-16",2016,"64","South",1,"Kansas","B12",105,16,"Austin Peay","OVC",79,"",-15,26,"1 over 16"
"108","14-Mar-87",1987,"32","Southeast",6,"Providence","BE",90,14,"Austin Peay","OVC",87,"1 OT",-8,3,"6 over 14"
"109","15-Mar-96",1996,"64","Southeast",3,"Georgia Tech","ACC",90,14,"Austin Peay","OVC",79,"",-11,11,"3 over 14"
"110","16-Mar-00",2000,"64","Midwest",6,"UCLA","P12",65,11,"Ball St.","MAC",57,"",-5,8,"6 over 11"
"111","18-Mar-89",1989,"32","Midwest",1,"Illinois","B10",72,9,"Ball St.","MAC",60,"",-8,12,"1 over 9"
"112","16-Mar-95",1995,"64","Southeast",5,"Arizona St.","P12",81,12,"Ball St.","MAC",66,"",-7,15,"5 over 12"
"113","13-Mar-86",1986,"64","Southeast",3,"Memphis","Amer",95,14,"Ball St.","MAC",63,"",-11,32,"3 over 14"
"114","18-Mar-93",1993,"64","Midwest",2,"Kansas","B12",94,15,"Ball St.","MAC",72,"",-13,22,"2 over 15"
"115","23-Mar-90",1990,"16","West",1,"UNLV","MWC",69,12,"Ball St.","MAC",67,"",-11,2,"1 over 12"
"116","27-Mar-14",2014,"16","West",2,"Wisconsin","B10",69,6,"Baylor","B12",52,"",-4,17,"2 over 6"
"117","25-Mar-12",2012,"8","South",1,"Kentucky","SEC",82,3,"Baylor","B12",70,"",-2,12,"1 over 3"
"118","20-Mar-08",2008,"64","West",6,"Purdue","B10",90,11,"Baylor","B12",79,"",-5,11,"6 over 11"
"119","24-Mar-17",2017,"16","East",7,"South Carolina","SEC",70,3,"Baylor","B12",50,"",4,20,"7 over 3"
"120","19-Mar-15",2015,"64","West",14,"Georgia St.","SB",57,3,"Baylor","B12",56,"",11,1,"14 over 3"
"121","17-Mar-88",1988,"64","Midwest",9,"Memphis","Amer",75,8,"Baylor","B12",60,"",1,15,"9 over 8"
"122","17-Mar-16",2016,"64","West",12,"Yale","Ivy",79,5,"Baylor","B12",75,"",7,4,"12 over 5"
"123","28-Mar-10",2010,"8","South",1,"Duke","ACC",78,3,"Baylor","B12",71,"",-2,7,"1 over 3"
"124","15-Mar-07",2007,"64","East",2,"Georgetown","BE",80,15,"Belmont","OVC",55,"",-13,25,"2 over 15"
"125","16-Mar-06",2006,"64","West",2,"UCLA","P12",78,15,"Belmont","OVC",44,"",-13,34,"2 over 15"
"126","17-Mar-11",2011,"64","Southeast",4,"Wisconsin","B10",72,13,"Belmont","OVC",58,"",-9,14,"4 over 13"
"127","16-Mar-12",2012,"64","Midwest",3,"Georgetown","BE",74,14,"Belmont","OVC",59,"",-11,15,"3 over 14"
"128","20-Mar-15",2015,"64","East",2,"Virginia","ACC",79,15,"Belmont","OVC",67,"",-13,12,"2 over 15"
"129","20-Mar-08",2008,"64","West",2,"Duke","ACC",71,15,"Belmont","OVC",70,"",-13,1,"2 over 15"
"130","21-Mar-13",2013,"64","West",6,"Arizona","P12",81,11,"Belmont","OVC",64,"",-5,17,"6 over 11"
"131","19-Mar-09",2009,"64","East",2,"Duke","ACC",86,15,"Binghamton","AE",62,"",-13,24,"2 over 15"
"132","21-Mar-08",2008,"64","East",3,"Louisville","ACC",79,14,"Boise St.","MWC",61,"",-11,18,"3 over 14"
"133","20-Mar-13",2013,"Play-in","West",13,"La Salle","A10",80,13,"Boise St.","MWC",71,"",0,9,"13 over 13"
"134","17-Mar-88",1988,"64","West",3,"Michigan","B10",63,14,"Boise St.","MWC",58,"",-11,5,"3 over 14"
"135","18-Mar-94",1994,"64","West",3,"Louisville","ACC",67,14,"Boise St.","MWC",58,"",-11,9,"3 over 14"
"136","18-Mar-15",2015,"Play-in","East",11,"Dayton","A10",56,11,"Boise St.","MWC",55,"",0,1,"11 over 11"
"137","18-Mar-93",1993,"64","West",3,"Vanderbilt","SEC",92,14,"Boise St.","MWC",72,"",-11,20,"3 over 14"
"138","21-Mar-04",2004,"32","Midwest",3,"Georgia Tech","ACC",57,6,"Boston College","ACC",54,"",-3,3,"3 over 6"
