Date,Year,Round,Region,wSeed,Winner,WScore,LSeed,Loser,LScore,OT
18-Mar-12,2012,32,Midwest,11,North Carolina St.,66,3,Georgetown,63,
23-Mar-13,2013,32,Midwest,12,Oregon,74,4,Saint Louis,57,
24-Mar-90,1990,8,Midwest,4,Arkansas,88,10,Texas,85,
25-Mar-90,1990,8,Southeast,4,Georgia Tech,93,6,Minnesota,91,
25-Mar-90,1990,8,West,1,UNLV,131,11,Loyola Marymount,101,
31-Mar-90,1990,4,Final Four,1,UNLV,90,4,Georgia Tech,81,
31-Mar-90,1990,4,Final Four,3,Duke,97,4,Arkansas,83,
2-Apr-90,1990,Champ,Championship,1,UNLV,103,3,Duke,73,
14-Mar-91,1991,64,East,3,Oklahoma St.,67,14,New Mexico,54,
14-Mar-91,1991,64,East,6,North Carolina St.,114,11,Southern Mississippi,85,
23-Mar-13,2013,32,West,9,Wichita St.,76,1,Gonzaga,70,
24-Mar-13,2013,32,South,15,Florida Gulf Coast,81,7,San Diego St.,71,
14-Mar-91,1991,64,Midwest,2,Duke,102,15,Louisiana Monroe,73,
14-Mar-91,1991,64,Midwest,7,Iowa,76,10,East Tennessee St.,73,
22-Mar-14,2014,32,South,11,Dayton,55,3,Syracuse,53,
23-Mar-14,2014,32,South,10,Stanford,60,2,Kansas,57,
14-Mar-91,1991,64,Southeast,2,Indiana,79,15,Coastal Carolina,69,
14-Mar-91,1991,64,Southeast,3,Kansas,55,14,New Orleans,49,
14-Mar-91,1991,64,Southeast,6,Pittsburgh,76,11,Georgia,68,1 OT
14-Mar-91,1991,64,Southeast,7,Florida St.,75,10,USC,72,
14-Mar-91,1991,64,West,2,Arizona,93,15,"St. Francis, Penn",80,
14-Mar-91,1991,64,West,3,Seton Hall,71,14,Pepperdine,51,
19-Mar-16,2016,32,Midwest,11,Gonzaga,82,3,Utah,59,
18-Mar-17,2017,32,West,11,Xavier,91,3,Florida St.,66,
15-Mar-91,1991,64,East,1,North Carolina,101,16,Northeastern,66,
14-Mar-85,1985,64,West,12,Kentucky,66,5,Washington,58,
17-Mar-85,1985,32,Southeast,8,Villanova,59,1,Michigan,55,
1-Apr-85,1985,Champ,Championship,8,Villanova,66,1,Georgetown,64,
15-Mar-91,1991,64,Midwest,1,Ohio St.,97,16,Towson,86,
15-Mar-91,1991,64,Midwest,4,St. John's,75,13,Northern Illinois,68,
15-Mar-91,1991,64,Midwest,5,Texas,73,12,St. Peter's,65,
15-Mar-91,1991,64,Midwest,8,Georgia Tech,87,9,DePaul,70,
15-Mar-91,1991,64,Southeast,1,Arkansas,117,16,Georgia St.,76,
15-Mar-91,1991,64,Southeast,4,Alabama,89,13,Murray St.,79,
15-Mar-91,1991,64,Southeast,5,Wake Forest,71,12,Louisiana Tech,65,
15-Mar-91,1991,64,Southeast,8,Arizona St.,79,9,Rutgers,76,
15-Mar-91,1991,64,West,1,UNLV,99,16,Montana,65,
15-Mar-91,1991,64,West,4,Utah,82,13,South Alabama,72,
15-Mar-91,1991,64,West,5,Michigan St.,60,12,Green Bay,58,
15-Mar-91,1991,64,West,8,Georgetown,70,9,Vanderbilt,60,
16-Mar-91,1991,32,East,3,Oklahoma St.,73,6,North Carolina St.,64,
16-Mar-91,1991,32,East,10,Temple,77,15,Richmond,64,
16-Mar-91,1991,32,Midwest,2,Duke,85,7,Iowa,70,
16-Mar-91,1991,32,Midwest,11,Connecticut,66,14,Xavier,50,
16-Mar-91,1991,32,Southeast,2,Indiana,82,7,Florida St.,60,
16-Mar-91,1991,32,Southeast,3,Kansas,77,6,Pittsburgh,66,
16-Mar-91,1991,32,West,2,Arizona,76,10,BYU,61,
16-Mar-91,1991,32,West,3,Seton Hall,81,11,Creighton,69,
17-Mar-91,1991,32,East,1,North Carolina,84,9,Villanova,69,
17-Mar-91,1991,32,East,12,Eastern Michigan,71,13,Penn St.,68,1 OT
17-Mar-91,1991,32,Midwest,1,Ohio St.,65,8,Georgia Tech,61,
17-Mar-91,1991,32,Midwest,4,St. John's,84,5,Texas,76,
17-Mar-91,1991,32,Southeast,1,Arkansas,97,8,Arizona St.,90,
17-Mar-91,1991,32,Southeast,4,Alabama,96,5,Wake Forest,88,
17-Mar-91,1991,32,West,1,UNLV,62,8,Georgetown,54,
17-Mar-91,1991,32,West,4,Utah,85,5,Michigan St.,84,2 OT
21-Mar-91,1991,16,Southeast,1,Arkansas,93,4,Alabama,70,
13-Mar-86,1986,64,East,12,DePaul,72,5,Virginia,68,
21-Mar-91,1991,16,West,1,UNLV,83,4,Utah,66,
16-Mar-86,1986,32,West,8,Auburn,81,1,St. John's,65,
22-Mar-91,1991,16,East,1,North Carolina,93,12,Eastern Michigan,67,
12-Mar-87,1987,64,West,12,Wyoming,64,5,Virginia,60,
22-Mar-91,1991,16,Midwest,2,Duke,81,11,Connecticut,67,
20-Mar-87,1987,16,Midwest,10,LSU,63,3,DePaul,58,
16-Mar-89,1989,64,West,12,DePaul,66,5,Memphis,63,
23-Mar-91,1991,8,West,1,UNLV,77,3,Seton Hall,65,
24-Mar-91,1991,8,East,1,North Carolina,75,10,Temple,72,
24-Mar-91,1991,8,Midwest,2,Duke,78,4,St. John's,61,
15-Mar-90,1990,64,Midwest,12,Dayton,88,5,Illinois,86,
15-Mar-90,1990,64,West,12,Ball St.,54,5,Oregon St.,53,
1-Apr-91,1991,Champ,Championship,2,Duke,72,3,Kansas,65,
19-Mar-92,1992,64,East,1,Duke,82,16,Campbell,56,
19-Mar-92,1992,64,East,4,Seton Hall,78,13,La Salle,76,
19-Mar-92,1992,64,East,5,Missouri,89,12,West Virginia,78,
17-Mar-90,1990,32,Midwest,8,North Carolina,79,1,Oklahoma,77,
19-Mar-92,1992,64,Midwest,2,USC,84,15,Louisiana Monroe,54,
19-Mar-92,1992,64,Midwest,3,Arkansas,80,14,Murray St.,69,
19-Mar-92,1992,64,Midwest,6,Memphis,80,11,Pepperdine,70,
19-Mar-92,1992,64,Midwest,7,Georgia Tech,65,10,Houston,60,
19-Mar-92,1992,64,Southeast,1,Ohio St.,83,16,Mississippi Valley,56,
19-Mar-92,1992,64,Southeast,4,North Carolina,68,13,Miami OH,63,
19-Mar-92,1992,64,Southeast,5,Alabama,80,12,Stanford,75,
15-Mar-91,1991,64,East,12,Eastern Michigan,76,5,Mississippi St.,56,
19-Mar-92,1992,64,West,2,Indiana,94,15,Eastern Illinois,55,
19-Mar-92,1992,64,West,3,Florida St.,78,14,Montana,68,
19-Mar-92,1992,64,West,6,Georgetown,75,11,South Florida,60,
19-Mar-92,1992,64,West,7,LSU,94,10,BYU,83,
20-Mar-92,1992,64,East,2,Kentucky,88,15,Old Dominion,69,
20-Mar-92,1992,64,East,3,Massachusetts,85,14,Fordham,58,
20-Mar-92,1992,64,East,6,Syracuse,51,11,Princeton,43,
22-Mar-91,1991,16,East,10,Temple,72,3,Oklahoma St.,63,1 OT
20-Mar-92,1992,64,Midwest,1,Kansas,100,16,Howard,67,
20-Mar-92,1992,64,Midwest,4,Cincinnati,85,13,Delaware,47,
20-Mar-92,1992,64,Midwest,5,Michigan St.,61,12,Missouri St.,54,
20-Mar-92,1992,64,West,12,New Mexico St.,81,5,DePaul,73,
20-Mar-92,1992,64,Southeast,2,Oklahoma St.,100,15,Georgia Southern,73,
20-Mar-92,1992,64,Southeast,6,Michigan,73,11,Temple,66,
19-Mar-93,1993,64,West,12,George Washington,82,5,New Mexico,68,
17-Mar-94,1994,64,West,12,Green Bay,61,5,California,57,
20-Mar-92,1992,64,West,1,UCLA,73,16,Robert Morris,53,
20-Mar-92,1992,64,West,8,Louisville,81,9,Wake Forest,58,
18-Mar-94,1994,64,Midwest,12,Tulsa,112,5,UCLA,102,
16-Mar-95,1995,64,Midwest,12,Miami OH,71,5,Arizona,62,
21-Mar-92,1992,32,East,1,Duke,75,9,Iowa,62,
21-Mar-92,1992,32,East,4,Seton Hall,88,5,Missouri,71,
14-Mar-96,1996,64,East,12,Arkansas,86,5,Penn St.,80,
14-Mar-96,1996,64,West,12,Drexel,75,5,Memphis,63,
21-Mar-92,1992,32,Southeast,1,Ohio St.,78,9,Connecticut,55,
21-Mar-92,1992,32,Southeast,4,North Carolina,64,5,Alabama,55,
21-Mar-92,1992,32,West,2,Indiana,89,7,LSU,79,
21-Mar-92,1992,32,West,3,Florida St.,78,6,Georgetown,68,
22-Mar-92,1992,32,East,2,Kentucky,106,10,Iowa St.,98,
22-Mar-92,1992,32,East,3,Massachusetts,77,6,Syracuse,71,1 OT
22-Mar-92,1992,32,Midwest,4,Cincinnati,77,5,Michigan St.,65,
16-Mar-96,1996,32,West,8,Georgia,76,1,Purdue,69,
22-Mar-92,1992,32,Southeast,2,Oklahoma St.,87,10,Tulane,71,
22-Mar-92,1992,32,Southeast,6,Michigan,102,14,East Tennessee St.,90,
22-Mar-92,1992,32,West,1,UCLA,85,8,Louisville,69,
22-Mar-92,1992,32,West,12,New Mexico St.,81,13,Louisiana Lafayette,73,
26-Mar-92,1992,16,East,1,Duke,81,4,Seton Hall,69,
26-Mar-92,1992,16,East,2,Kentucky,87,3,Massachusetts,77,
26-Mar-92,1992,16,West,1,UCLA,85,12,New Mexico St.,78,
26-Mar-92,1992,16,West,2,Indiana,85,3,Florida St.,74,
27-Mar-92,1992,16,Midwest,4,Cincinnati,69,9,UTEP,67,
27-Mar-92,1992,16,Midwest,6,Memphis,83,7,Georgia Tech,79,1 OT
27-Mar-92,1992,16,Southeast,1,Ohio St.,80,4,North Carolina,73,
13-Mar-97,1997,64,Southeast,12,Charleston Southern,75,5,Maryland,66,
28-Mar-92,1992,8,East,1,Duke,104,2,Kentucky,103,1 OT
13-Mar-98,1998,64,Midwest,12,Florida St.,96,5,TCU,87,
29-Mar-92,1992,8,Midwest,4,Cincinnati,88,6,Memphis,57,
15-Mar-98,1998,32,Midwest,8,Rhode Island,80,1,Kansas,75,
4-Apr-92,1992,4,Final Four,1,Duke,81,2,Indiana,78,
11-Mar-99,1999,64,South,12,Detroit,56,5,UCLA,53,
6-Apr-92,1992,Champ,Championship,1,Duke,71,6,Michigan,51,
18-Mar-93,1993,64,East,1,North Carolina,85,16,East Carolina,65,
18-Mar-93,1993,64,East,4,Arkansas,94,13,Holy Cross,64,
18-Mar-93,1993,64,East,5,St. John's,85,12,Texas Tech,67,
18-Mar-93,1993,64,East,8,Rhode Island,74,9,Purdue,68,
18-Mar-93,1993,64,Midwest,2,Kansas,94,15,Ball St.,72,
18-Mar-93,1993,64,Midwest,3,Duke,105,14,Southern Illinois,70,
18-Mar-93,1993,64,Midwest,6,California,66,11,LSU,64,
18-Mar-93,1993,64,Midwest,7,BYU,80,10,SMU,71,
18-Mar-93,1993,64,Southeast,2,Seton Hall,81,15,Tennessee St.,59,
18-Mar-93,1993,64,Southeast,3,Florida St.,82,14,Evansville,70,
18-Mar-93,1993,64,Southeast,7,Western Kentucky,55,10,Memphis,52,
12-Mar-99,1999,64,East,12,Missouri St.,43,5,Wisconsin,32,
18-Mar-93,1993,64,West,3,Vanderbilt,92,14,Boise St.,72,
18-Mar-93,1993,64,West,6,Illinois,75,11,Long Beach St.,72,
18-Mar-93,1993,64,West,7,Temple,75,10,Missouri,61,
18-Mar-00,2000,32,West,8,Wisconsin,66,1,Arizona,59,
19-Mar-93,1993,64,East,2,Cincinnati,93,15,Coppin St.,66,
19-Mar-93,1993,64,East,3,Massachusetts,54,14,Penn,50,
19-Mar-93,1993,64,East,6,Virginia,78,11,Manhattan,66,
19-Mar-93,1993,64,East,7,New Mexico St.,93,10,Nebraska,79,
19-Mar-93,1993,64,Midwest,1,Indiana,97,16,Wright St.,54,
19-Mar-93,1993,64,Midwest,4,Louisville,76,13,Delaware,70,
19-Mar-93,1993,64,Midwest,5,Oklahoma St.,74,12,Marquette,62,
19-Mar-00,2000,32,South,8,North Carolina,60,1,Stanford,53,
19-Mar-93,1993,64,Southeast,1,Kentucky,96,16,Rider,52,
19-Mar-93,1993,64,Southeast,4,Iowa,82,13,Louisiana Monroe,69,
19-Mar-93,1993,64,Southeast,5,Wake Forest,81,12,Chattanooga,58,
19-Mar-93,1993,64,Southeast,8,Utah,86,9,Pittsburgh,85,
19-Mar-93,1993,64,West,1,Michigan,84,16,Coastal Carolina,53,
15-Mar-01,2001,64,East,12,Utah St.,77,5,Ohio St.,68,1 OT
16-Mar-01,2001,64,South,12,Gonzaga,86,5,Virginia,85,
14-Mar-02,2002,64,East,12,Tulsa,71,5,Marquette,69,
20-Mar-93,1993,32,East,1,North Carolina,112,8,Rhode Island,67,
20-Mar-93,1993,32,East,4,Arkansas,80,5,St. John's,74,
20-Mar-93,1993,32,Midwest,2,Kansas,90,7,BYU,76,
14-Mar-02,2002,64,West,12,Missouri,93,5,Miami FL,80,
20-Mar-93,1993,32,Southeast,3,Florida St.,94,11,Tulane,63,
15-Mar-02,2002,64,Midwest,12,Creighton,83,5,Florida,82,2 OT
20-Mar-93,1993,32,West,3,Vanderbilt,85,6,Illinois,68,
20-Mar-93,1993,32,West,7,Temple,68,15,Santa Clara,57,
21-Mar-93,1993,32,East,2,Cincinnati,92,7,New Mexico St.,55,
17-Mar-02,2002,32,West,8,UCLA,105,1,Cincinnati,101,2 OT
21-Mar-93,1993,32,Midwest,1,Indiana,73,9,Xavier,70,
21-Mar-93,1993,32,Midwest,4,Louisville,78,5,Oklahoma St.,63,
21-Mar-93,1993,32,Southeast,1,Kentucky,83,8,Utah,62,
21-Mar-02,2002,16,South,10,Kent St.,78,3,Pittsburgh,73,
21-Mar-93,1993,32,West,1,Michigan,86,9,UCLA,84,1 OT
21-Mar-93,1993,32,West,12,George Washington,90,13,Southern,80,
25-Mar-93,1993,16,Midwest,1,Indiana,82,4,Louisville,69,
25-Mar-93,1993,16,Midwest,2,Kansas,93,6,California,76,
25-Mar-93,1993,16,Southeast,1,Kentucky,103,5,Wake Forest,69,
25-Mar-93,1993,16,Southeast,3,Florida St.,81,7,Western Kentucky,78,1 OT
26-Mar-93,1993,16,East,1,North Carolina,80,4,Arkansas,74,
26-Mar-93,1993,16,East,2,Cincinnati,71,6,Virginia,54,
26-Mar-93,1993,16,West,1,Michigan,72,12,George Washington,64,
21-Mar-03,2003,64,East,12,Butler,47,5,Mississippi St.,46,
18-Mar-04,2004,64,East,12,Manhattan,75,5,Florida,60,
27-Mar-93,1993,8,Southeast,1,Kentucky,106,3,Florida St.,81,
28-Mar-93,1993,8,East,1,North Carolina,75,2,Cincinnati,68,1 OT
28-Mar-93,1993,8,West,1,Michigan,77,7,Temple,72,
3-Apr-93,1993,4,Final Four,1,North Carolina,78,2,Kansas,68,
3-Apr-93,1993,4,Final Four,1,Michigan,81,1,Kentucky,78,1 OT
5-Apr-93,1993,Champ,Championship,1,North Carolina,77,1,Michigan,71,
17-Mar-94,1994,64,East,2,Connecticut,64,15,Rider,46,
17-Mar-94,1994,64,East,3,Florida,64,14,James Madison,62,
19-Mar-04,2004,64,Midwest,12,Pacific,66,5,Providence,58,
20-Mar-04,2004,32,West,8,Alabama,70,1,Stanford,67,
17-Mar-94,1994,64,Midwest,2,Massachusetts,78,15,Texas St.,60,
17-Mar-94,1994,64,Midwest,3,Michigan,78,14,Pepperdine,74,1 OT
17-Mar-94,1994,64,Midwest,6,Texas,91,11,Western Kentucky,77,
17-Mar-05,2005,64,Midwest,12,Milwaukee,83,5,Alabama,73,
17-Mar-94,1994,64,Southeast,1,Purdue,98,16,UCF,67,
17-Mar-94,1994,64,Southeast,4,Kansas,102,13,Chattanooga,73,
17-Mar-94,1994,64,Southeast,5,Wake Forest,68,12,Charleston Southern,58,
16-Mar-06,2006,64,Midwest,12,Montana,87,5,Nevada,79,
17-Mar-94,1994,64,West,1,Missouri,76,16,Navy,53,
17-Mar-94,1994,64,West,4,Syracuse,92,13,Hawaii,78,
16-Mar-06,2006,64,South,12,Texas A&M,66,5,Syracuse,58,
21-Mar-08,2008,64,Midwest,12,Villanova,75,5,Clemson,69,
18-Mar-94,1994,64,East,1,North Carolina,71,16,Liberty,51,
18-Mar-94,1994,64,East,4,Temple,61,13,Drexel,39,
18-Mar-94,1994,64,East,5,Indiana,84,12,Ohio,72,
21-Mar-08,2008,64,West,12,Western Kentucky,101,5,Drake,99,1 OT
18-Mar-94,1994,64,Midwest,1,Arkansas,94,16,North Carolina A&T,79,
18-Mar-94,1994,64,Midwest,4,Oklahoma St.,65,13,New Mexico St.,55,
28-Mar-08,2008,16,Midwest,10,Davidson,73,3,Wisconsin,56,
19-Mar-09,2009,64,South,12,Western Kentucky,76,5,Illinois,72,
18-Mar-94,1994,64,Southeast,2,Duke,82,15,Texas Southern,70,
18-Mar-94,1994,64,Southeast,3,Kentucky,83,14,Tennessee St.,70,
18-Mar-94,1994,64,Southeast,6,Marquette,81,11,Louisiana Lafayette,59,
18-Mar-94,1994,64,Southeast,7,Michigan St.,84,10,Seton Hall,73,
18-Mar-94,1994,64,West,2,Arizona,81,15,"Loyola, Maryland",55,
18-Mar-94,1994,64,West,3,Louisville,67,14,Boise St.,58,
18-Mar-94,1994,64,West,6,Minnesota,74,11,Southern Illinois,60,
18-Mar-94,1994,64,West,7,Virginia,57,10,New Mexico,54,
19-Mar-94,1994,32,East,2,Connecticut,75,10,George Washington,63,
19-Mar-94,1994,32,East,3,Florida,70,11,Penn,58,
19-Mar-94,1994,32,Midwest,3,Michigan,84,6,Texas,79,
20-Mar-09,2009,64,East,12,Wisconsin,61,5,Florida St.,59,1 OT
19-Mar-94,1994,32,Southeast,1,Purdue,83,9,Alabama,73,
19-Mar-94,1994,32,Southeast,4,Kansas,69,5,Wake Forest,58,
19-Mar-94,1994,32,West,1,Missouri,109,9,Wisconsin,96,
19-Mar-94,1994,32,West,4,Syracuse,64,12,Green Bay,59,
20-Mar-09,2009,64,Midwest,12,Arizona,84,5,Utah,71,
19-Mar-10,2010,64,East,12,Cornell,78,5,Temple,65,
20-Mar-94,1994,32,Midwest,1,Arkansas,85,9,Georgetown,73,
17-Mar-11,2011,64,Southwest,12,Richmond,69,5,Vanderbilt,66,
20-Mar-94,1994,32,Southeast,2,Duke,85,7,Michigan St.,74,
19-Mar-11,2011,32,Southeast,8,Butler,71,1,Pittsburgh,70,
20-Mar-94,1994,32,West,2,Arizona,71,7,Virginia,58,
20-Mar-94,1994,32,West,3,Louisville,60,6,Minnesota,55,
24-Mar-94,1994,16,Southeast,1,Purdue,83,4,Kansas,78,
24-Mar-94,1994,16,Southeast,2,Duke,59,6,Marquette,49,
24-Mar-94,1994,16,West,1,Missouri,98,4,Syracuse,88,1 OT
24-Mar-94,1994,16,West,2,Arizona,82,3,Louisville,70,
15-Mar-12,2012,64,South,12,VCU,62,5,Wichita St.,59,
16-Mar-12,2012,64,Midwest,12,South Florida,58,5,Temple,44,
25-Mar-94,1994,16,Midwest,1,Arkansas,103,12,Tulsa,84,
25-Mar-94,1994,16,Midwest,3,Michigan,78,10,Maryland,71,
21-Mar-13,2013,64,East,12,California,64,5,UNLV,61,
21-Mar-13,2013,64,Midwest,12,Oregon,68,5,Oklahoma St.,55,
27-Mar-94,1994,8,East,3,Florida,74,9,Boston College,66,
27-Mar-94,1994,8,Midwest,1,Arkansas,76,3,Michigan,68,
2-Apr-94,1994,4,Final Four,1,Arkansas,91,2,Arizona,82,
2-Apr-94,1994,4,Final Four,2,Duke,70,3,Florida,65,
4-Apr-94,1994,Champ,Championship,1,Arkansas,76,2,Duke,72,
16-Mar-95,1995,64,East,1,Wake Forest,79,16,North Carolina A&T,47,
16-Mar-95,1995,64,East,4,Oklahoma St.,73,13,Drexel,49,
16-Mar-95,1995,64,East,5,Alabama,91,12,Penn,85,1 OT
22-Mar-13,2013,64,West,12,Mississippi,57,5,Wisconsin,46,
16-Mar-95,1995,64,Midwest,1,Kansas,82,16,Colgate,68,
16-Mar-95,1995,64,Midwest,4,Virginia,96,13,Nicholls St.,72,
16-Mar-95,1995,64,Midwest,8,Western Kentucky,82,9,Michigan,76,1 OT
30-Mar-13,2013,8,West,9,Wichita St.,70,2,Ohio St.,66,
16-Mar-95,1995,64,Southeast,1,Kentucky,113,16,Mount St. Mary's,67,
16-Mar-95,1995,64,Southeast,5,Arizona St.,81,12,Ball St.,66,
20-Mar-14,2014,64,East,12,Harvard,61,5,Cincinnati,57,
20-Mar-14,2014,64,West,12,North Dakota St.,80,5,Oklahoma,75,1 OT
16-Mar-95,1995,64,West,2,Connecticut,100,15,Chattanooga,71,
16-Mar-95,1995,64,West,3,Maryland,87,14,Gonzaga,63,
16-Mar-95,1995,64,West,7,Cincinnati,77,10,Temple,71,
21-Mar-14,2014,64,South,12,Stephen F. Austin,77,5,VCU,75,1 OT
17-Mar-95,1995,64,East,2,Massachusetts,68,15,St. Peter's,51,
17-Mar-95,1995,64,East,6,Tulsa,68,11,Illinois,62,
23-Mar-14,2014,32,Midwest,8,Kentucky,78,1,Wichita St.,76,
21-Mar-15,2015,32,East,8,North Carolina St.,71,1,Villanova,68,
17-Mar-95,1995,64,Midwest,2,Arkansas,79,15,Texas Southern,78,
17-Mar-95,1995,64,Midwest,3,Purdue,49,14,Green Bay,48,
17-Mar-95,1995,64,Midwest,6,Memphis,77,11,Louisville,56,
17-Mar-95,1995,64,Midwest,7,Syracuse,96,10,Southern Illinois,92,
17-Mar-95,1995,64,Southeast,2,North Carolina,80,15,Murray St.,70,
17-Mar-95,1995,64,Southeast,6,Georgetown,68,11,Xavier,63,
17-Mar-95,1995,64,Southeast,7,Iowa St.,64,10,Florida,61,
17-Mar-16,2016,64,Midwest,12,Arkansas Little Rock,85,5,Purdue,83,2 OT
17-Mar-95,1995,64,West,1,UCLA,92,16,Florida International,56,
17-Mar-95,1995,64,West,4,Utah,76,13,Long Beach St.,64,
17-Mar-95,1995,64,West,5,Mississippi St.,75,12,Santa Clara,67,
17-Mar-95,1995,64,West,8,Missouri,65,9,Indiana,60,
18-Mar-95,1995,32,East,1,Wake Forest,64,9,Saint Louis,59,
18-Mar-95,1995,32,East,4,Oklahoma St.,66,5,Alabama,52,
18-Mar-95,1995,32,Midwest,1,Kansas,75,8,Western Kentucky,70,
18-Mar-95,1995,32,Midwest,4,Virginia,60,12,Miami OH,54,1 OT
18-Mar-95,1995,32,Southeast,1,Kentucky,82,9,Tulane,60,
18-Mar-95,1995,32,Southeast,5,Arizona St.,64,13,Manhattan,54,
18-Mar-95,1995,32,West,2,Connecticut,96,7,Cincinnati,91,
18-Mar-95,1995,32,West,3,Maryland,82,11,Texas,68,
19-Mar-95,1995,32,East,2,Massachusetts,75,10,Stanford,53,
19-Mar-95,1995,32,East,6,Tulsa,64,14,Old Dominion,52,
19-Mar-95,1995,32,Midwest,2,Arkansas,96,7,Syracuse,94,1 OT
17-Mar-16,2016,64,West,12,Yale,79,5,Baylor,75,
19-Mar-95,1995,32,Southeast,2,North Carolina,73,7,Iowa St.,51,
19-Mar-95,1995,32,Southeast,6,Georgetown,53,14,Weber St.,51,
19-Mar-95,1995,32,West,1,UCLA,75,8,Missouri,74,
16-Mar-17,2017,64,South,12,Middle Tennessee,81,5,Minnesota,72,
23-Mar-95,1995,16,Southeast,1,Kentucky,97,5,Arizona St.,73,
23-Mar-95,1995,16,Southeast,2,North Carolina,74,6,Georgetown,64,
23-Mar-95,1995,16,West,1,UCLA,86,5,Mississippi St.,67,
23-Mar-95,1995,16,West,2,Connecticut,99,3,Maryland,89,
24-Mar-95,1995,16,East,2,Massachusetts,76,6,Tulsa,51,
18-Mar-17,2017,32,East,8,Wisconsin,65,1,Villanova,62,
24-Mar-95,1995,16,Midwest,2,Arkansas,96,6,Memphis,91,1 OT
24-Mar-85,1985,8,Southeast,8,Villanova,56,2,North Carolina,44,
30-Mar-85,1985,4,Final Four,8,Villanova,52,2,Memphis,45,
25-Mar-95,1995,8,West,1,UCLA,102,2,Connecticut,96,
26-Mar-11,2011,8,Southeast,8,Butler,74,2,Florida,71,1 OT
26-Mar-95,1995,8,Midwest,2,Arkansas,68,4,Virginia,61,
1-Apr-95,1995,4,Final Four,1,UCLA,74,4,Oklahoma St.,61,
1-Apr-95,1995,4,Final Four,2,Arkansas,75,2,North Carolina,68,
3-Apr-95,1995,Champ,Championship,1,UCLA,89,2,Arkansas,78,
14-Mar-96,1996,64,East,1,Massachusetts,92,16,UCF,70,
14-Mar-96,1996,64,East,4,Marquette,68,13,Monmouth,44,
30-Mar-14,2014,8,Midwest,8,Kentucky,75,2,Michigan,72,
5-Apr-14,2014,4,Final Four,7,Connecticut,63,1,Florida,53,
14-Mar-96,1996,64,Midwest,1,Kentucky,110,16,San Jose St.,72,
14-Mar-96,1996,64,Midwest,4,Utah,72,13,Canisius,43,
14-Mar-96,1996,64,Midwest,5,Iowa St.,74,12,California,64,
5-Apr-14,2014,4,Final Four,8,Kentucky,74,2,Wisconsin,73,
14-Mar-96,1996,64,Southeast,1,Connecticut,68,16,Colgate,59,
14-Mar-96,1996,64,Southeast,5,Mississippi St.,58,12,VCU,51,
14-Mar-85,1985,64,Southeast,11,Auburn,59,6,Purdue,58,
15-Mar-85,1985,64,Midwest,11,Boston College,55,6,Texas Tech,53,
14-Mar-96,1996,64,West,1,Purdue,73,16,Western Carolina,71,
14-Mar-96,1996,64,West,4,Syracuse,88,13,Montana St.,55,
14-Mar-96,1996,64,West,8,Georgia,81,9,Clemson,74,
15-Mar-85,1985,64,West,11,UTEP,79,6,Tulsa,75,
15-Mar-96,1996,64,East,2,Georgetown,93,15,Mississippi Valley,56,
15-Mar-96,1996,64,East,3,Texas Tech,74,14,Northern Illinois,73,
15-Mar-96,1996,64,East,6,North Carolina,83,11,New Orleans,62,
15-Mar-96,1996,64,East,7,New Mexico,69,10,Kansas St.,48,
15-Mar-96,1996,64,Midwest,2,Wake Forest,62,15,Louisiana Monroe,50,
15-Mar-96,1996,64,Midwest,3,Villanova,92,14,Portland,58,
15-Mar-96,1996,64,Midwest,6,Louisville,82,11,Tulsa,80,1 OT
17-Mar-85,1985,32,West,7,Alabama,63,2,VCU,59,
15-Mar-96,1996,64,Southeast,2,Cincinnati,66,15,North Carolina Greensboro,61,
15-Mar-96,1996,64,Southeast,3,Georgia Tech,90,14,Austin Peay,79,
15-Mar-96,1996,64,Southeast,7,Temple,61,10,Oklahoma,43,
13-Mar-86,1986,64,Southeast,11,LSU,94,6,Purdue,87,2 OT
15-Mar-96,1996,64,West,2,Kansas,92,15,South Carolina St.,54,
15-Mar-96,1996,64,West,3,Arizona,90,14,Valparaiso,51,
15-Mar-96,1996,64,West,6,Iowa,81,11,George Washington,79,
16-Mar-86,1986,32,East,7,Navy,97,2,Syracuse,85,
16-Mar-96,1996,32,East,1,Massachusetts,79,9,Stanford,74,
16-Mar-86,1986,32,Midwest,7,Iowa St.,72,2,Michigan,69,
16-Mar-96,1996,32,Midwest,1,Kentucky,84,9,Virginia Tech,60,
16-Mar-96,1996,32,Midwest,4,Utah,73,5,Iowa St.,67,
16-Mar-96,1996,32,Southeast,1,Connecticut,95,9,Eastern Michigan,81,
16-Mar-96,1996,32,Southeast,5,Mississippi St.,63,13,Princeton,41,
16-Mar-96,1996,32,West,4,Syracuse,69,12,Drexel,58,
21-Mar-87,1987,8,Southeast,6,Providence,88,1,Georgetown,73,
17-Mar-96,1996,32,East,2,Georgetown,73,7,New Mexico,62,
17-Mar-96,1996,32,East,3,Texas Tech,92,6,North Carolina,73,
17-Mar-96,1996,32,Midwest,2,Wake Forest,65,10,Texas,62,
17-Mar-88,1988,64,East,11,Rhode Island,87,6,Missouri,80,
17-Mar-96,1996,32,Southeast,2,Cincinnati,78,7,Temple,65,
17-Mar-96,1996,32,Southeast,3,Georgia Tech,103,11,Boston College,89,
17-Mar-96,1996,32,West,2,Kansas,76,10,Santa Clara,51,
17-Mar-96,1996,32,West,3,Arizona,87,6,Iowa,73,
