Date,Year,Round,Region,Wse,Winner,WSc,Lse,Loser,LSc,MV,DKP,Dsag,KPC,SagC
18-Mar-17,2017,2,South,4,Butler,74,12,Middle Tennessee,65,9,5.81,5.86,1,1
18-Mar-17,2017,2,West,4,West Virginia,83,5,Notre Dame,71,12,7.43,5.62,1,1
18-Mar-17,2017,2,West,1,Gonzaga,79,8,Northwestern,73,6,16.24,11.03,1,1
19-Mar-17,2017,2,East,7,South Carolina,88,2,Duke,81,7,-3.37,-4.54,0,0
19-Mar-17,2017,2,Midwest,7,Michigan,73,2,Louisville,69,4,-2.46,-3.2,0,0
19-Mar-17,2017,2,South,3,UCLA,79,6,Cincinnati,67,12,1.45,1.37,1,1
19-Mar-17,2017,2,South,2,Kentucky,65,10,Wichita St.,62,3,1.58,2.46,1,1
19-Mar-17,2017,2,Midwest,3,Oregon,75,11,Rhode Island,72,3,8.76,7.19,1,1
19-Mar-17,2017,2,East,3,Baylor,82,11,USC,78,4,10.78,7.26,1,1
19-Mar-17,2017,2,Midwest,1,Kansas,90,9,Michigan St.,70,20,11.94,-0.58,1,0
19-Mar-17,2017,2,South,1,North Carolina,72,8,Arkansas,65,7,11.97,9.73,1,1
23-Mar-17,2017,3,West,11,Xavier,73,2,Arizona,71,2,-6.61,-3.94,0,0
23-Mar-17,2017,3,Midwest,3,Oregon,69,7,Michigan,68,1,1.97,2.44,1,1
23-Mar-17,2017,3,Midwest,1,Kansas,98,4,Purdue,66,32,4.33,3.26,1,1
23-Mar-17,2017,3,West,1,Gonzaga,61,4,West Virginia,58,3,4.88,1.71,1,1
24-Mar-17,2017,3,East,7,South Carolina,70,3,Baylor,50,20,-3.43,-2.62,0,0
24-Mar-17,2017,3,South,2,Kentucky,86,3,UCLA,75,11,4.09,3.09,1,1
24-Mar-17,2017,3,East,4,Florida,84,8,Wisconsin,83,1,4.51,2.25,1,1
24-Mar-17,2017,3,South,1,North Carolina,92,4,Butler,80,12,7.46,6.54,1,1
25-Mar-17,2017,4,Midwest,3,Oregon,74,1,Kansas,60,14,-2.43,-2.33,0,0
25-Mar-17,2017,4,West,1,Gonzaga,83,11,Xavier,59,24,15.35,9.66,1,1
26-Mar-17,2017,4,East,7,South Carolina,77,4,Florida,70,7,-6.7,-4.83,0,0
26-Mar-17,2017,4,South,1,North Carolina,75,2,Kentucky,73,2,0.5,0.84,1,1
1-Apr-17,2017,5,Final Four,1,North Carolina,77,3,Oregon,76,1,3.2,3.17,1,1
1-Apr-17,2017,5,Final Four,1,Gonzaga,77,7,South Carolina,73,4,11.25,7.92,1,1
3-Apr-17,2017,6,Championship,1,North Carolina,71,1,Gonzaga,65,6,-3.83,-0.91,0,0
15-Mar-18,2018,1,South,13,Buffalo,89,4,Arizona,68,21,-6.27,-6.31,0,0
15-Mar-18,2018,1,East,9,Alabama,86,8,Virginia Tech,83,3,-2.56,-1.31,0,0
15-Mar-18,2018,1,Midwest,7,Rhode Island,83,10,Oklahoma,78,5,-0.3,-0.66,0,0
15-Mar-18,2018,1,South,11,Loyola Chicago,64,6,Miami FL,62,2,1.28,-2.67,1,0
15-Mar-18,2018,1,Midwest,8,Seton Hall,94,9,North Carolina St.,83,11,3.35,3.42,1,1
15-Mar-18,2018,1,South,5,Kentucky,78,12,Davidson,73,5,5.81,6.06,1,1
15-Mar-18,2018,1,West,6,Houston,67,11,San Diego St.,65,2,6.11,3.77,1,1
15-Mar-18,2018,1,East,6,Florida,77,11,St. Bonaventure,62,15,7.87,5.79,1,1
15-Mar-18,2018,1,West,5,Ohio St.,81,12,South Dakota St.,73,8,10.73,7.93,1,1
15-Mar-18,2018,1,West,3,Michigan,61,14,Montana,47,14,13.82,12.48,1,1
15-Mar-18,2018,1,West,4,Gonzaga,68,13,UNC Greensboro,64,4,13.84,11.96,1,1
15-Mar-18,2018,1,East,3,Texas Tech,70,14,Stephen F. Austin,60,10,16.91,13.57,1,1
15-Mar-18,2018,1,South,3,Tennessee,73,14,Wright St.,47,26,19.72,13.06,1,1
15-Mar-18,2018,1,Midwest,1,Kansas,76,16,Penn,60,16,20.24,16.4,1,1
15-Mar-18,2018,1,Midwest,2,Duke,89,15,Iona,67,22,26.26,18.81,1,1
15-Mar-18,2018,1,East,1,Villanova,87,16,Radford,61,26,32.28,25.36,1,1
16-Mar-18,2018,1,South,16,UMBC,74,1,Virginia,54,20,-29.06,-19.29,0,0
16-Mar-18,2018,1,East,13,Marshall,81,4,Wichita St.,75,6,-12.53,-11.81,0,0
16-Mar-18,2018,1,Midwest,11,Syracuse,57,6,TCU,52,5,-3.73,-1.97,0,0
16-Mar-18,2018,1,South,9,Kansas St.,69,8,Creighton,59,10,-1.84,-1.54,0,0
16-Mar-18,2018,1,West,9,Florida St.,67,8,Missouri,54,13,2.85,3.43,1,1
16-Mar-18,2018,1,South,7,Nevada,87,10,Texas,83,4,3,0.04,1,1
16-Mar-18,2018,1,East,10,Butler,79,7,Arkansas,62,17,4.05,2.03,1,1
16-Mar-18,2018,1,West,7,Texas A&M,73,10,Providence,69,4,5.05,3.78,1,1
16-Mar-18,2018,1,Midwest,5,Clemson,79,12,New Mexico St.,68,11,8.72,6.64,1,1
16-Mar-18,2018,1,East,5,West Virginia,85,12,Murray St.,68,17,10.32,11.69,1,1
16-Mar-18,2018,1,Midwest,4,Auburn,62,13,College of Charleston,58,4,13.59,8.89,1,1
16-Mar-18,2018,1,Midwest,3,Michigan St.,82,14,Bucknell,78,4,17.98,13.19,1,1
16-Mar-18,2018,1,South,2,Cincinnati,68,15,Georgia St.,53,15,19.66,14.83,1,1
16-Mar-18,2018,1,West,2,North Carolina,84,15,Lipscomb,66,18,23.15,17.55,1,1
16-Mar-18,2018,1,East,2,Purdue,74,15,Cal St. Fullerton,48,26,25.37,20.34,1,1
16-Mar-18,2018,1,West,1,Xavier,102,16,Texas Southern,83,19,27.94,20.85,1,1
17-Mar-18,2018,2,South,11,Loyola Chicago,63,3,Tennessee,62,1,-5.64,-4.89,0,0
17-Mar-18,2018,2,South,5,Buffalo,95,13,Buffalo,75,20,0,0,0,0
17-Mar-18,2018,2,West,4,Gonzaga,90,5,Ohio St.,84,6,2.22,2.41,1,1
17-Mar-18,2018,2,East,3,Texas Tech,69,6,Florida,66,3,3.54,2.07,1,1
17-Mar-18,2018,2,West,3,Michigan,64,6,Houston,63,1,3.96,3.27,1,1
17-Mar-18,2018,2,Midwest,1,Kansas,83,8,Seton Hall,79,4,6.05,6.11,1,1
17-Mar-18,2018,2,Midwest,2,Duke,87,7,Rhode Island,62,25,14.94,10.4,1,1
17-Mar-18,2018,2,East,1,Villanova,81,9,Alabama,58,23,19.19,12.76,1,1
18-Mar-18,2018,2,Midwest,11,Syracuse,55,3,Michigan St.,53,2,-10.45,-7.54,0,0
18-Mar-18,2018,2,South,7,Nevada,75,2,Cincinnati,73,2,-8.13,-6.36,0,0
18-Mar-18,2018,2,West,7,Texas A&M,86,2,North Carolina,65,21,-6.58,-3.73,0,0
18-Mar-18,2018,2,West,9,Florida St.,75,1,Xavier,70,5,-3.54,-1.91,0,0
18-Mar-18,2018,2,Midwest,5,Clemson,84,4,Auburn,53,31,2.9,2.03,1,1
18-Mar-18,2018,2,East,2,Purdue,76,10,Butler,73,3,7.27,5.75,1,1
18-Mar-18,2018,2,South,9,Kansas St.,50,16,UMBC,43,7,14.39,12.63,1,1
18-Mar-18,2018,2,East,5,West Virginia,89,13,Marshall,62,27,15.99,14.71,1,1
22-Mar-18,2018,3,West,9,Florida St.,75,4,Gonzaga,60,15,-5.39,-2.52,0,0
22-Mar-18,2018,3,South,11,Loyola Chicago,69,7,Nevada,68,1,-1.78,-2.7,0,0
22-Mar-18,2018,3,South,9,Kansas,61,5,Kentucky,58,3,3.38,3.65,1,1
22-Mar-18,2018,3,West,3,Michigan,99,7,Texas A&M,72,27,7.23,3.84,1,1
23-Mar-18,2018,3,East,3,Texas Tech,78,2,Purdue,65,13,-3.48,-2.75,0,0
23-Mar-18,2018,3,Midwest,1,Kansas,80,5,Clemson,76,4,2.21,5.17,1,1
23-Mar-18,2018,3,East,1,Villanova,90,5,West Virginia,78,12,10.18,5.31,1,1
23-Mar-18,2018,3,Midwest,2,Duke,69,11,Syracuse,65,4,14.05,10.05,1,1
24-Mar-18,2018,4,South,11,Loyola Chicago,78,9,Kansas St.,62,16,1.86,-2.06,1,0
24-Mar-18,2018,4,West,3,Michigan,58,9,Florida St.,54,4,6.46,3.18,1,1
25-Mar-18,2018,4,Midwest,1,Kansas,85,2,Duke,81,4,-4.97,-1.9,0,0
25-Mar-18,2018,4,East,1,Villanova,71,3,Texas Tech,59,12,10.06,6.6,1,1
31-Mar-18,2018,5,Final Four,3,Michigan,69,11,Loyola Chicago,57,12,7.52,7.59,1,1
31-Mar-18,2018,5,Final Four,1,Villanova,95,1,Kansas,79,16,8.78,3.72,1,1
2-Apr-18,2018,6,Championship,1,Villanova,79,3,Michigan,62,17,8.43,6.05,1,1
