,Student ID,Duration,2017 Fall Math 221 Unit 1 Exam,Duration,2017 Fall Math 221 Exam 2,Duration,2017 Fall Math 221 Exam 3,Duration,2017 Fall Math 221 Exam 4,,,,,
Total Points,,,,,,,,,,,,,Min,Score
,, 1 hrs 11 min ,35, 2 hrs  ,34.17, 1 hrs 22 min ,35.83, 1 hrs 10 min ,36.21,,1,11,71,92.10526316
,,  50 min ,35, 1 hrs 1 min ,32.67,  44 min ,31.67, 1 hrs 5 min ,39.67,,0,50,50,92.10526316
,, 1 hrs 29 min ,25, 1 hrs 13 min ,24.67, 1 hrs 15 min ,26.17, 2 hrs 12 min ,24.25,,1,29,89,65.78947368
,,  41 min ,36, 1 hrs 2 min ,35.67, 16 hrs 6 min ,40, 1 hrs 22 min ,39.71,,0,41,41,94.73684211
,, 11 hrs 5 min ,24, 1 hrs 19 min ,21.25, 1 hrs 23 min ,28.33, 1 hrs 41 min ,27.46,,1,5,65,63.15789474
,,  55 min ,28, 1 hrs 21 min ,26.83, 1 hrs 3 min ,30,  51 min ,23.88,,0,55,55,73.68421053
,,  27 min ,33, 18 hrs 36 min ,32.5,  50 min ,28.92,  36 min ,33.58,,0,27,27,86.84210526
,,  39 min ,35, 1 hrs 5 min ,26.5, 1 hrs 9 min ,35.83, 1 hrs 6 min ,34.75,,0,39,39,92.10526316
,,  28 min ,36,  45 min ,36,  36 min ,36,  42 min ,39.67,,0,28,28,94.73684211
,,  43 min ,30, 1 hrs 7 min ,32.67,  40 min ,35.67,  30 min ,39.08,,0,43,43,78.94736842
,,  32 min ,34,  50 min ,37,  52 min ,39.75,  39 min ,44,,0,32,32,89.47368421
,,  57 min ,30,  51 min ,23.5, 1 hrs  ,24,  41 min ,24.04,,0,57,57,78.94736842
,,  43 min ,36,  55 min ,24.67, 1 hrs 5 min ,29.5, 1 hrs 37 min ,31.88,,0,43,43,94.73684211
,,  30 min ,35,  37 min ,33.33,  19 min ,35.58,  56 min ,27,,0,30,30,92.10526316
,,  29 min ,35,  57 min ,31,  52 min ,33.33, 1 hrs 10 min ,32.71,,0,29,29,92.10526316
,, 1 hrs 34 min ,35, 1 hrs 36 min ,32,  47 min ,39.67, 1 hrs 11 min ,29.62,,1,34,94,92.10526316
,,  35 min ,31,  54 min ,33,  37 min ,28.83,  51 min ,36.88,,0,35,35,81.57894737
,,  56 min ,35, 1 hrs 39 min ,35, 1 hrs 30 min ,39.33, 1 hrs 7 min ,42.33,,0,56,56,92.10526316
,,  30 min ,33,  44 min ,32,  58 min ,31.83, 1 hrs  ,38.21,,0,30,30,86.84210526
,,  31 min ,35,  49 min ,28,  50 min ,37.5, 1 hrs 21 min ,39.38,,0,31,31,92.10526316
,,  44 min ,36,  56 min ,37.33, 1 hrs 5 min ,37,  51 min ,36.33,,0,44,44,94.73684211
,,  43 min ,34, 1 hrs 1 min ,40,  50 min ,35.33,  51 min ,41.33,,0,43,43,89.47368421
,,  43 min ,27.5,  55 min ,18.67, 1 hrs  ,26.92,  57 min ,21.04,,0,43,43,72.36842105
,,  48 min ,38, 1 hrs 9 min ,29.5, 1 hrs 21 min ,38.5, 1 hrs 12 min ,40.67,,0,48,48,100
,,  46 min ,28, 1 hrs 13 min ,26, 1 hrs 11 min ,23.75,  54 min ,26.42,,0,46,46,73.68421053
,, 1 hrs 14 min ,26, 2 hrs 40 min ,29.83, 1 hrs 56 min ,36.83, 2 hrs 48 min ,37.67,,1,14,74,68.42105263
,,  39 min ,33,  53 min ,39,  36 min ,29.5,  35 min ,34.67,,0,39,39,86.84210526
,,  23 min ,32,  38 min ,35.25,  40 min ,35.83,  35 min ,32.04,,0,23,23,84.21052632
,,  54 min ,20, 1 hrs 3 min ,23.25,  55 min ,24,  43 min ,21.08,,0,54,54,52.63157895
