Index,Date,Year,Round,Region,wSeed,Winner,WConf,WScore,LSeed,Loser,LConf,LScore,OT,SeD,ScD,Upset
55,22-Mar-85,1985,16,West,1,St. John's,BE,86,12,Kentucky,SEC,70,,-11,16,1 over 12
56,22-Mar-85,1985,16,Southeast,8,Villanova,BE,46,5,Maryland,B10,43,,3,3,8 over 5
57,23-Mar-85,1985,8,East,1,Georgetown,BE,60,2,Georgia Tech,ACC,54,,-1,6,1 over 2
58,23-Mar-85,1985,8,Midwest,2,Memphis,Amer,63,1,Oklahoma,B12,61,,1,2,2 over 1
59,24-Mar-85,1985,8,Southeast,8,Villanova,BE,56,2,North Carolina,ACC,44,,6,12,8 over 2
60,24-Mar-85,1985,8,West,1,St. John's,BE,69,3,North Carolina St.,ACC,60,,-2,9,1 over 3
61,30-Mar-85,1985,4,Final Four,8,Villanova,BE,52,2,Memphis,Amer,45,,6,7,8 over 2
62,30-Mar-85,1985,4,Final Four,1,Georgetown,BE,77,1,St. John's,BE,59,,0,18,1 over 1
63,1-Apr-85,1985,Champ,Championship,8,Villanova,BE,66,1,Georgetown,BE,64,,7,2,8 over 1
64,13-Mar-86,1986,64,Southeast,3,Memphis,Amer,95,14,Ball St.,MAC,63,,-11,32,3 over 14
65,13-Mar-86,1986,64,West,2,Louisville,ACC,93,15,Drexel,CAA,73,,-13,20,2 over 15
66,13-Mar-86,1986,64,Midwest,9,Temple,Amer,61,8,Jacksonville,ASun,50,1 OT,1,11,9 over 8
67,13-Mar-86,1986,64,Southeast,2,Georgia Tech,ACC,68,15,Marist,MAAC,53,,-13,15,2 over 15
68,13-Mar-86,1986,64,East,1,Duke,ACC,85,16,Mississippi Valley,NA,78,,-15,7,1 over 16
69,13-Mar-86,1986,64,West,6,UAB,CUSA,66,11,Missouri,SEC,64,,-5,2,6 over 11
70,13-Mar-86,1986,64,Midwest,1,Kansas,B12,71,16,North Carolina A&T,MEAC,46,,-15,25,1 over 16
71,13-Mar-86,1986,64,East,4,Oklahoma,B12,80,13,Northeastern,CAA,74,,-9,6,4 over 13
72,13-Mar-86,1986,64,Southeast,11,LSU,SEC,94,6,Purdue,B10,87,2 OT,5,7,11 over 6
73,13-Mar-86,1986,64,Midwest,4,Georgetown,BE,70,13,Texas Tech,B12,64,,-9,6,4 over 13
74,13-Mar-86,1986,64,West,3,North Carolina,ACC,84,14,Utah,P12,72,,-11,12,3 over 14
75,13-Mar-86,1986,64,West,7,Bradley,MVC,83,10,UTEP,CUSA,65,,-3,18,7 over 10
76,13-Mar-86,1986,64,East,12,DePaul,BE,72,5,Virginia,ACC,68,,7,4,12 over 5
77,13-Mar-86,1986,64,Southeast,10,Villanova,BE,71,7,Virginia Tech,ACC,62,,3,9,10 over 7
78,13-Mar-86,1986,64,Midwest,5,Michigan St.,B10,72,12,Washington,P12,70,,-7,2,5 over 12
79,13-Mar-86,1986,64,East,8,Old Dominion,CUSA,72,9,West Virginia,B12,64,,-1,8,8 over 9
80,14-Mar-86,1986,64,Midwest,2,Michigan,B10,70,15,Akron,MAC,64,,-13,6,2 over 15
81,14-Mar-86,1986,64,West,8,Auburn,SEC,73,9,Arizona,P12,63,,-1,10,8 over 9
82,14-Mar-86,1986,64,East,2,Syracuse,ACC,101,15,Brown,Ivy,52,,-13,49,2 over 15
83,14-Mar-86,1986,64,Southeast,1,Kentucky,SEC,75,16,Davidson,A10,55,,-15,20,1 over 16
84,14-Mar-86,1986,64,Southeast,4,Illinois,B10,75,13,Fairfield,MAAC,51,,-9,24,4 over 13
85,14-Mar-86,1986,64,East,14,Cleveland St.,Horz,83,3,Indiana,B10,79,,11,4,14 over 3
86,14-Mar-86,1986,64,Midwest,6,North Carolina St.,ACC,66,11,Iowa,B10,64,,-5,2,6 over 11
87,14-Mar-86,1986,64,West,4,UNLV,MWC,74,13,Louisiana Monroe,SB,51,,-9,23,4 over 13
88,14-Mar-86,1986,64,Midwest,7,Iowa St.,B12,81,10,Miami OH,MAC,79,1 OT,-3,2,7 over 10
89,14-Mar-86,1986,64,West,1,St. John's,BE,83,16,Montana St.,BSky,74,,-15,9,1 over 16
90,14-Mar-86,1986,64,Southeast,8,Western Kentucky,CUSA,67,9,Nebraska,B10,59,,-1,8,8 over 9
91,14-Mar-86,1986,64,Midwest,14,Arkansas Little Rock,SB,90,3,Notre Dame,ACC,83,,11,7,14 over 3
92,14-Mar-86,1986,64,West,5,Maryland,B10,69,12,Pepperdine,WCC,64,,-7,5,5 over 12
93,14-Mar-86,1986,64,East,6,Saint Joseph's,A10,60,11,Richmond,A10,59,,-5,1,6 over 11
94,14-Mar-86,1986,64,East,7,Navy,Pat,87,10,Tulsa,Amer,68,,-3,19,7 over 10
95,14-Mar-86,1986,64,Southeast,5,Alabama,SEC,97,12,Xavier,BE,80,,-7,17,5 over 12
96,15-Mar-86,1986,32,West,2,Louisville,ACC,82,7,Bradley,MVC,68,,-5,14,2 over 7
97,15-Mar-86,1986,32,Midwest,5,Michigan St.,B10,80,4,Georgetown,BE,68,,1,12,5 over 4
98,15-Mar-86,1986,32,Southeast,11,LSU,SEC,83,3,Memphis,Amer,81,,8,2,11 over 3
99,15-Mar-86,1986,32,East,12,DePaul,BE,74,4,Oklahoma,B12,69,,8,5,12 over 4
100,15-Mar-86,1986,32,East,1,Duke,ACC,89,8,Old Dominion,CUSA,61,,-7,28,1 over 8
101,15-Mar-86,1986,32,Midwest,1,Kansas,B12,65,9,Temple,Amer,43,,-8,22,1 over 9
102,15-Mar-86,1986,32,West,3,North Carolina,ACC,77,6,UAB,CUSA,59,,-3,18,3 over 6
103,15-Mar-86,1986,32,Southeast,2,Georgia Tech,ACC,66,10,Villanova,BE,61,,-8,5,2 over 10
104,16-Mar-86,1986,32,Midwest,6,North Carolina St.,ACC,80,14,Arkansas Little Rock,SB,66,2 OT,-8,14,6 over 14
105,16-Mar-86,1986,32,Southeast,5,Alabama,SEC,58,4,Illinois,B10,56,,1,2,5 over 4
106,16-Mar-86,1986,32,West,4,UNLV,MWC,70,5,Maryland,B10,64,,-1,6,4 over 5
107,16-Mar-86,1986,32,Midwest,7,Iowa St.,B12,72,2,Michigan,B10,69,,5,3,7 over 2
108,16-Mar-86,1986,32,East,14,Cleveland St.,Horz,75,6,Saint Joseph's,A10,69,,8,6,14 over 6
109,16-Mar-86,1986,32,West,8,Auburn,SEC,81,1,St. John's,BE,65,,7,16,8 over 1
110,16-Mar-86,1986,32,East,7,Navy,Pat,97,2,Syracuse,ACC,85,,5,12,7 over 2
111,16-Mar-86,1986,32,Southeast,1,Kentucky,SEC,71,8,Western Kentucky,CUSA,64,,-7,7,1 over 8
112,20-Mar-86,1986,16,Southeast,1,Kentucky,SEC,68,5,Alabama,SEC,63,,-4,5,1 over 5
113,20-Mar-86,1986,16,Southeast,11,LSU,SEC,70,2,Georgia Tech,ACC,64,,9,6,11 over 2
114,20-Mar-86,1986,16,West,2,Louisville,ACC,94,3,North Carolina,ACC,79,,-1,15,2 over 3
115,20-Mar-86,1986,16,West,8,Auburn,SEC,70,4,UNLV,MWC,63,,4,7,8 over 4
116,21-Mar-86,1986,16,East,7,Navy,Pat,71,14,Cleveland St.,Horz,70,,-7,1,7 over 14
117,21-Mar-86,1986,16,East,1,Duke,ACC,74,12,DePaul,BE,67,,-11,7,1 over 12
118,21-Mar-86,1986,16,Midwest,6,North Carolina St.,ACC,70,7,Iowa St.,B12,66,,-1,4,6 over 7
119,21-Mar-86,1986,16,Midwest,1,Kansas,B12,96,5,Michigan St.,B10,86,1 OT,-4,10,1 over 5
120,22-Mar-86,1986,8,West,2,Louisville,ACC,84,8,Auburn,SEC,76,,-6,8,2 over 8
121,22-Mar-86,1986,8,Southeast,11,LSU,SEC,59,1,Kentucky,SEC,57,,10,2,11 over 1
122,23-Mar-86,1986,8,East,1,Duke,ACC,71,7,Navy,Pat,50,,-6,21,1 over 7
123,23-Mar-86,1986,8,Midwest,1,Kansas,B12,75,6,North Carolina St.,ACC,67,,-5,8,1 over 6
124,29-Mar-86,1986,4,Final Four,1,Duke,ACC,71,1,Kansas,B12,67,,0,4,1 over 1
125,29-Mar-86,1986,4,Final Four,2,Louisville,ACC,88,11,LSU,SEC,77,,-9,11,2 over 11
126,31-Mar-86,1986,Champ,Championship,2,Louisville,ACC,72,1,Duke,ACC,69,,1,3,2 over 1
127,12-Mar-87,1987,64,Southeast,7,New Orleans,Slnd,83,10,BYU,WCC,79,,-3,4,7 over 10
128,12-Mar-87,1987,64,West,4,UCLA,P12,92,13,Central Michigan,MAC,73,,-9,19,4 over 13
129,12-Mar-87,1987,64,Midwest,1,Indiana,B10,92,16,Fairfield,MAAC,58,,-15,34,1 over 16
130,12-Mar-87,1987,64,West,9,Kansas St.,B12,82,8,Georgia,SEC,79,1 OT,1,3,9 over 8
131,12-Mar-87,1987,64,West,1,UNLV,MWC,95,16,Idaho St.,BSky,70,,-15,25,1 over 16
132,12-Mar-87,1987,64,Southeast,14,Austin Peay,OVC,68,3,Illinois,B10,67,,11,1,14 over 3
133,12-Mar-87,1987,64,East,4,TCU,B12,76,13,Marshall,CUSA,60,,-9,16,4 over 13
134,12-Mar-87,1987,64,East,5,Notre Dame,ACC,84,12,Middle Tennessee,CUSA,71,,-7,13,5 over 12
135,12-Mar-87,1987,64,Midwest,13,Xavier,BE,70,4,Missouri,SEC,69,,9,1,13 over 4
136,12-Mar-87,1987,64,East,9,Michigan,B10,97,8,Navy,Pat,82,,1,15,9 over 8
137,12-Mar-87,1987,64,Southeast,2,Alabama,SEC,88,15,North Carolina A&T,MEAC,71,,-13,17,2 over 15
138,12-Mar-87,1987,64,East,1,North Carolina,ACC,113,16,Penn,Ivy,82,,-15,31,1 over 16
139,12-Mar-87,1987,64,Midwest,8,Auburn,SEC,62,9,San Diego,WCC,61,,-1,1,8 over 9
140,12-Mar-87,1987,64,Midwest,5,Duke,ACC,58,12,Texas A&M,SEC,51,,-7,7,5 over 12
141,12-Mar-87,1987,64,Southeast,6,Providence,BE,90,11,UAB,CUSA,68,,-5,22,6 over 11
142,12-Mar-87,1987,64,West,12,Wyoming,MWC,64,5,Virginia,ACC,60,,7,4,12 over 5
143,13-Mar-87,1987,64,West,7,UTEP,CUSA,98,10,Arizona,P12,91,1 OT,-3,7,7 over 10
144,13-Mar-87,1987,64,Southeast,1,Georgetown,BE,75,16,Bucknell,Pat,53,,-15,22,1 over 16
145,13-Mar-87,1987,64,Southeast,13,Missouri St.,MVC,65,4,Clemson,ACC,60,,9,5,13 over 4
146,13-Mar-87,1987,64,East,2,Syracuse,ACC,79,15,Georgia Southern,SB,73,,-13,6,2 over 15
147,13-Mar-87,1987,64,Midwest,10,LSU,SEC,85,7,Georgia Tech,ACC,79,,3,6,10 over 7
148,13-Mar-87,1987,64,Southeast,5,Kansas,B12,66,12,Houston,Amer,55,,-7,11,5 over 12
149,13-Mar-87,1987,64,Southeast,9,Ohio St.,B10,91,8,Kentucky,SEC,77,,1,14,9 over 8
150,13-Mar-87,1987,64,Midwest,3,DePaul,BE,76,14,Louisiana Tech,CUSA,62,,-11,14,3 over 14
151,13-Mar-87,1987,64,West,3,Pittsburgh,ACC,93,14,Marist,MAAC,68,,-11,25,3 over 14
