"","year","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","Factor","Dollar","Equivalent","Newbudget","Newgross"
"26",1986,0,"TriStar Pictures","USA","John Badham","Comedy",40697761,"Short Circuit","PG","1986-05-09",98,6.6,"Ally Sheedy",47068,"S.S. Wilson",2.21,"$1,093.00 ","$2,414.32 ",0,89942051.81
"27",1986,0,"Neue Constantin Film","Italy","Jean-Jacques Annaud","Crime",7153487,"The Name of the Rose","R","1986-09-24",130,7.8,"Sean Connery",86991,"Umberto Eco",2.21,"$1,093.00 ","$2,414.32 ",0,15809206.27
"28",1986,0,"TriStar Pictures","USA","Sidney J. Furie","Action",24159872,"Iron Eagle","PG-13","1986-01-17",117,5.3,"Louis Gossett Jr.",11304,"Kevin Alyn Elders",2.21,"$1,093.00 ","$2,414.32 ",0,53393317.12
"29",1986,2.5e+07,"Paramount Pictures","USA","Michael Ritchie","Action",79817937,"The Golden Child","PG-13","1986-12-12",94,5.9,"Eddie Murphy",42997,"Dennis Feldman",2.21,"$1,093.00 ","$2,414.32 ",55250000,176397640.77
"30",1986,1900000,"Hemdale","USA","Tim Hunter","Crime",4600000,"River's Edge","R","1987-05-08",99,7.1,"Crispin Glover",12862,"Neal Jimenez",2.21,"$1,093.00 ","$2,414.32 ",4199000,10166000
"31",1986,2.5e+07,"L.A. Films","USA","John Landis","Comedy",39246734,"¡Three Amigos!","PG","1986-12-12",104,6.4,"Steve Martin",57406,"Steve Martin",2.21,"$1,093.00 ","$2,414.32 ",55250000,86735282.14
"32",1986,2.5e+07,"Warner Bros.","USA","George P. Cosmatos","Action",49042224,"Cobra","R","1986-05-23",87,5.7,"Sylvester Stallone",54851,"Paula Gosling",2.21,"$1,093.00 ","$2,414.32 ",55250000,108383315.04
"33",1986,0,"Gaumont","France","Jean-Jacques Beineix","Drama",2003822,"Betty Blue","Not specified","1986-11-07",120,7.4,"Jean-Hugues Anglade",14562,"Philippe Djian",2.21,"$1,093.00 ","$2,414.32 ",0,4428446.62
"34",1986,24500000,"Warner Bros.","UK","Roland Joffé","Adventure",17218023,"The Mission","PG","1986-10-31",125,7.5,"Robert De Niro",47497,"Robert Bolt",2.21,"$1,093.00 ","$2,414.32 ",54145000,38051830.83
"35",1986,13800000,"Touchstone Pictures","USA","Martin Scorsese","Drama",52293982,"The Color of Money","R","1986-10-17",119,7,"Paul Newman",62495,"Walter Tevis",2.21,"$1,093.00 ","$2,414.32 ",30498000,115569700.22
"36",1986,0,"Columbia Pictures Corporation","USA","John G. Avildsen","Action",115103979,"The Karate Kid Part II","PG","1986-06-20",113,5.9,"Pat Morita",58370,"Robert Mark Kamen",2.21,"$1,093.00 ","$2,414.32 ",0,254379793.59
"37",1986,0,"Lorimar Productions","USA","Nick Castle","Drama",7177431,"The Boy Who Could Fly","PG","1986-09-26",114,6.5,"Lucy Deakins",4623,"Nick Castle",2.21,"$1,093.00 ","$2,414.32 ",0,15862122.51
"38",1986,6e+06,"HBO Films","USA","Robert Harmon","Thriller",5844868,"The Hitcher","R","1986-02-21",97,7.3,"Rutger Hauer",36191,"Eric Red",2.21,"$1,093.00 ","$2,414.32 ",13260000,12917158.28
"39",1986,1e+07,"Amblin Entertainment","USA","Richard Benjamin","Comedy",37499651,"The Money Pit","PG","1986-03-26",91,6.3,"Tom Hanks",41278,"David Giler",2.21,"$1,093.00 ","$2,414.32 ",22100000,82874228.71
"40",1986,3e+06,"Paramount Pictures","USA","Tom McLoughlin","Horror",19472057,"Jason Lives: Friday the 13th Part VI","R","1986-08-01",86,5.9,"Thom Mathews",28310,"Tom McLoughlin",2.21,"$1,093.00 ","$2,414.32 ",6630000,43033245.97
"41",1986,2.5e+07,"The Saul Zaentz Company","USA","Peter Weir","Adventure",14302779,"The Mosquito Coast","PG","1986-11-26",117,6.6,"Harrison Ford",23076,"Paul Theroux",2.21,"$1,093.00 ","$2,414.32 ",55250000,31609141.59
"42",1986,0,"Universal Pictures","USA","Don Bluth","Animation",47483002,"An American Tail","G","1986-11-21",80,6.9,"Dom DeLuise",41004,"Judy Freudberg",2.21,"$1,093.00 ","$2,414.32 ",0,104937434.42
"43",1986,4e+06,"Initial Pictures","UK","Alex Cox","Biography",2826523,"Sid and Nancy","R","1986-11-07",112,7.1,"Gary Oldman",25032,"Alex Cox",2.21,"$1,093.00 ","$2,414.32 ",8840000,6246615.83
"44",1986,1e+07,"De Laurentiis Entertainment Group (DEG)","USA","John Guillermin","Action",4711220,"King Kong Lives","PG-13","1986-12-19",105,3.8,"Brian Kerwin",4401,"Ronald Shusett",2.21,"$1,093.00 ","$2,414.32 ",22100000,10411796.2
"45",1986,4500000,"Empire Pictures","USA","Stuart Gordon","Horror",1261000,"From Beyond","R","1986-10-24",86,6.7,"Jeffrey Combs",16636,"H.P. Lovecraft",2.21,"$1,093.00 ","$2,414.32 ",9945000,2786810
"46",1986,1.8e+07,"TriStar Pictures","USA","Francis Ford Coppola","Comedy",41382841,"Peggy Sue Got Married","PG-13","1986-10-10",103,6.3,"Kathleen Turner",28529,"Jerry Leichtling",2.21,"$1,093.00 ","$2,414.32 ",39780000,91456078.61
"47",1986,1.9e+07,"Freddie Fields Productions","USA","Brian Gibson","Horror",40996665,"Poltergeist II: The Other Side","PG-13","1986-05-23",91,5.7,"JoBeth Williams",20669,"Mark Victor",2.21,"$1,093.00 ","$2,414.32 ",41990000,90602629.65
"48",1986,1100000,"Empire Pictures","USA","John Carl Buechler","Comedy",5450815,"Troll","PG-13","1986-01-17",82,4.3,"Michael Moriarty",7569,"Ed Naha",2.21,"$1,093.00 ","$2,414.32 ",2431000,12046301.15
