Date,Year,Round,Region,Winning Seed,Winner,wConf,Winning Score,Losing Seed,Loser,Lconf,Losing Score,Overtime,MV,SeD,Upset,LEW,LAW,LDW,Wrating,Lrating,Drating,S/F,Abs,Hit
18-Mar-17,2017,2,West,11,Xavier,BE,91,3,Florida St,ACC,66,,25,-8,11 over 3,1.810606061,1,-0.810606061,16.7,20.06,-3.36,Miss,3.36,0
18-Mar-17,2017,2,East,8,Wisconsin,B10,65,1,Villanova,BE,62,,3,-7,8 over 1,3.363636364,1,-2.363636364,22.99,29.88,-6.89,Miss,6.89,0
18-Mar-17,2017,2,West,4,West Virginia,B12,83,5,Notre Dame,ACC,71,,12,1,,1.098484848,1,-0.098484848,27.17,19.74,7.43,Hit,7.43,1
18-Mar-17,2017,2,West,1,Gonzaga,WCC,79,8,Northwestern,B10,73,,6,7,,0.734848485,1,0.265151515,32.05,15.81,16.24,Hit,16.24,1
18-Mar-17,2017,2,South,4,Butler,BE,74,12,Middle Tennessee,CUSA,65,,9,8,,0.515151515,1,0.484848485,20.76,14.95,5.81,Hit,5.81,1
18-Mar-17,2017,2,West,2,Arizona,P12,69,7,Saint Mary's,WCC,60,,9,5,,0.916666667,1,0.083333333,23.31,23.67,-0.36,Miss,0.36,0
18-Mar-17,2017,2,East,4,Florida,SEC,65,5,Virginia,ACC,39,,26,1,,1.098484848,1,-0.098484848,27.5,24.29,3.21,Hit,3.21,1
18-Mar-17,2017,2,Midwest,4,Purdue,B10,80,5,Iowa St,B12,76,,4,1,,1.098484848,1,-0.098484848,23.12,23.45,-0.33,Miss,0.33,0
19-Mar-17,2017,2,Midwest,7,Michigan,B10,73,2,Louisville,ACC,69,,4,-5,7 over 2,2.378787879,1,-1.378787879,23.05,25.51,-2.46,Miss,2.46,0
19-Mar-17,2017,2,East,7,South Carolina,SEC,88,2,Duke,ACC,81,,7,-5,7 over 2,2.378787879,1,-1.378787879,20.8,24.17,-3.37,Miss,3.37,0
19-Mar-17,2017,2,South,2,Kentucky,SEC,65,10,Wichita St,Amer,62,,3,8,,0.628787879,1,0.371212121,27.72,26.14,1.58,Hit,1.58,1
19-Mar-17,2017,2,Midwest,1,Kansas,B12,90,9,Michigan St,B10,70,,20,8,,0.553030303,1,0.446969697,27.45,15.51,11.94,Hit,11.94,1
19-Mar-17,2017,2,South,1,North Carolina,ACC,72,8,Arkansas,SEC,65,,7,7,,0.734848485,1,0.265151515,28.22,16.25,11.97,Hit,11.97,1
19-Mar-17,2017,2,Midwest,3,Oregon,P12,75,11,Rhode Island,A10,72,,3,8,,0.598484848,1,0.401515152,25.02,16.26,8.76,Hit,8.76,1
19-Mar-17,2017,2,East,3,Baylor,B12,82,11,USC,P12,78,,4,8,,0.598484848,1,0.401515152,24.23,13.45,10.78,Hit,10.78,1
19-Mar-17,2017,2,South,3,UCLA,P12,79,6,Cincinnati,Amer,67,,12,3,,1.098484848,1,-0.098484848,23.63,22.18,1.45,Hit,1.45,1
23-Mar-17,2017,3,West,11,Xavier,BE,73,2,Arizona,P12,71,,2,-9,11 over 2,2.378787879,2,-0.378787879,16.7,23.31,-6.61,Miss,6.61,0
23-Mar-17,2017,3,Midwest,3,Oregon,P12,69,7,Michigan,B10,68,,1,4,,0.916666667,2,1.083333333,25.02,23.05,1.97,Hit,1.97,1
23-Mar-17,2017,3,West,1,Gonzaga,WCC,61,4,West Virginia,B12,58,,3,3,,1.568181818,2,0.431818182,32.05,27.17,4.88,Hit,4.88,1
23-Mar-17,2017,3,Midwest,1,Kansas,B12,98,4,Purdue,B10,66,,32,3,,1.568181818,2,0.431818182,27.45,23.12,4.33,Hit,4.33,1
24-Mar-17,2017,3,East,7,South Carolina,SEC,70,3,Baylor,B12,50,,20,-4,7 over 3,1.810606061,2,0.189393939,20.8,24.23,-3.43,Miss,3.43,0
24-Mar-17,2017,3,South,1,North Carolina,ACC,92,4,Butler,BE,80,,12,3,,1.568181818,2,0.431818182,28.22,20.76,7.46,Hit,7.46,1
24-Mar-17,2017,3,South,2,Kentucky,SEC,86,3,UCLA,P12,75,,11,1,,1.810606061,2,0.189393939,27.72,23.63,4.09,Hit,4.09,1
24-Mar-17,2017,3,East,4,Florida,SEC,84,8,Wisconsin,B10,83,1 OT,1,4,,0.734848485,2,1.265151515,27.5,22.99,4.51,Hit,4.51,1
25-Mar-17,2017,4,Midwest,3,Oregon,P12,74,1,Kansas,B12,60,,14,-2,,3.363636364,3,-0.363636364,25.02,27.45,-2.43,Miss,2.43,0
25-Mar-17,2017,4,West,1,Gonzaga,WCC,83,11,Xavier,BE,59,,24,10,,0.598484848,3,2.401515152,32.05,16.7,15.35,Hit,15.35,1
26-Mar-17,2017,4,East,7,South Carolina,SEC,77,4,Florida,SEC,70,,7,-3,,1.568181818,3,1.431818182,20.8,27.5,-6.7,Miss,6.7,0
26-Mar-17,2017,4,South,1,North Carolina,ACC,75,2,Kentucky,SEC,73,,2,1,,2.378787879,3,0.621212121,28.22,27.72,0.5,Hit,0.5,1
1-Apr-17,2017,5,Final Four,1,Gonzaga,WCC,77,7,South Carolina,SEC,73,,4,6,,0.916666667,4,3.083333333,32.05,20.8,11.25,Hit,11.25,1
1-Apr-17,2017,5,Final Four,1,North Carolina,ACC,77,3,Oregon,P12,76,,1,2,,1.810606061,4,2.189393939,28.22,25.02,3.2,Hit,3.2,1
3-Apr-17,2017,6,Championship,1,North Carolina,ACC,71,1,Gonzaga,WCC,65,,6,0,,3.363636364,5,1.636363636,28.22,32.05,-3.83,Miss,3.83,0
