Gender,Age,MTW,Female,MT
Female,70,No,1,0
Female,55,Yes,1,1
Female,74,Yes,1,1
Male,38,No,0,0
Female,82,Yes,1,1
Female,90,Yes,1,1
Female,73,Yes,1,1
Female,72,Yes,1,1
Male,51,No,0,0
Male,60,No,0,0
Male,77,Yes,0,1
Male,65,Yes,0,1
Male,52,No,0,0
Male,69,Yes,0,1
Male,53,Yes,0,1
Female,50,Yes,1,1
Female,56,Yes,1,1
Female,55,Yes,1,1
Female,40,No,1,0
Female,59,Yes,1,1
Male,77,Yes,0,1
Female,80,No,1,0
Male,68,Yes,0,1
Female,65,Yes,1,1
Female,91,Yes,1,1
Female,49,Yes,1,1
Female,60,No,1,0
Female,49,Yes,1,1
Female,20,No,1,0
Female,64,Yes,1,1
Female,24,Yes,1,1
Female,40,Yes,1,1
Female,80,Yes,1,1
Female,49,Yes,1,1
Female,82,Yes,1,1
Male,73,Yes,0,1
Male,92,No,0,0
Female,54,Yes,1,1
Female,94,Yes,1,1
Female,65,Yes,1,1
Female,54,Yes,1,1
Female,52,No,1,0
Male,62,No,0,0
Female,70,Yes,1,1
Male,62,No,0,0
Male,82,Yes,0,1
Male,65,No,0,0
Male,55,Yes,0,1
Female,70,No,1,0
Male,72,No,0,0
Female,80,Yes,1,1
Male,72,No,0,0
Female,58,Yes,1,1
Male,86,No,0,0
Male,32,Yes,0,1
Male,51,No,0,0
Male,59,Yes,0,1
Male,69,Yes,0,1
Male,22,No,0,0
Female,79,No,1,0
Female,69,Yes,1,1
Female,83,No,1,0
Female,70,Yes,1,1
Female,65,Yes,1,1
Male,24,Yes,0,1
Male,57,Yes,0,1
Female,46,No,1,0
Female,34,Yes,1,1
Female,62,Yes,1,1
Female,34,Yes,1,1
Female,48,Yes,1,1
Male,55,No,0,0
Female,35,Yes,1,1
Male,33,No,0,0
Male,45,No,0,0
Male,47,Yes,0,1
Female,85,Yes,1,1
Female,80,Yes,1,1
Male,91,No,0,0
Female,84,Yes,1,1
Male,61,No,0,0
Male,70,Yes,0,1
Male,84,No,0,0
Female,76,Yes,1,1
Male,57,No,0,0
Female,69,Yes,1,1
Female,65,Yes,1,1
Male,58,No,0,0
Female,83,Yes,1,1
Male,79,No,0,0
Female,85,Yes,1,1
Male,81,Yes,0,1
Female,58,No,1,0
Female,79,Yes,1,1
Female,67,Yes,1,1
Female,70,Yes,1,1
Female,86,Yes,1,1
Male,77,Yes,0,1
Male,72,Yes,0,1
Male,25,No,0,0
Male,27,Yes,0,1
Female,63,No,1,0
Male,62,No,0,0
Male,59,Yes,0,1
Male,56,Yes,0,1
Male,68,Yes,0,1
Male,52,Yes,0,1
Male,34,No,0,0
Female,47,Yes,1,1
Male,45,Yes,0,1
Male,46,No,0,0
Male,35,No,0,0
Male,39,No,0,0
Male,22,Yes,0,1
Male,46,No,0,0
Male,27,No,0,0
Male,35,Yes,0,1
Female,60,Yes,1,1
Male,54,No,0,0
Male,61,No,0,0
Male,26,Yes,0,1
Male,34,Yes,0,1
Male,33,No,0,0
Male,38,Yes,0,1
Male,78,Yes,0,1
Female,52,Yes,1,1
Male,41,Yes,0,1
Female,64,Yes,1,1
Male,38,No,0,0
Male,52,No,0,0
Male,38,No,0,0
Male,33,No,0,0
Male,35,Yes,0,1
Male,31,No,0,0
Male,52,No,0,0
Male,54,Yes,0,1
Female,26,Yes,1,1
Male,40,No,0,0
Male,33,Yes,0,1
Female,64,No,1,0
Male,27,No,0,0
Male,32,No,0,0
Male,40,Yes,0,1
Male,38,No,0,0
Male,54,Yes,0,1
Male,68,No,0,0
Male,71,No,0,0
Female,21,Yes,1,1
Male,62,No,0,0
Female,43,No,1,0
Female,20,No,1,0
Male,57,No,0,0
Female,27,No,1,0
Male,60,Yes,0,1
Female,42,Yes,1,1
Female,55,Yes,1,1
Male,50,Yes,0,1
Female,45,No,1,0
Female,36,No,1,0
Female,22,No,1,0
Male,82,Yes,0,1
Female,50,Yes,1,1
Female,57,Yes,1,1
Female,57,No,1,0
Male,67,No,0,0
Male,52,No,0,0
Female,47,Yes,1,1
Female,41,No,1,0
Male,66,Yes,0,1
Female,30,Yes,1,1
Female,71,Yes,1,1
Female,38,No,1,0
Female,40,No,1,0
Female,36,No,1,0
Female,50,Yes,1,1
Male,55,Yes,0,1
Female,62,Yes,1,1
Female,75,No,1,0
Female,64,Yes,1,1
Female,66,Yes,1,1
Male,37,No,0,0
Male,29,Yes,0,1
Male,63,No,0,0
Female,32,Yes,1,1
Female,70,No,1,0
Female,52,Yes,1,1
Male,40,Yes,0,1
Male,20,No,0,0
Male,57,No,0,0
Female,53,Yes,1,1
Male,81,Yes,0,1
Female,49,No,1,0
Female,46,Yes,1,1
Female,72,Yes,1,1
Female,35,No,1,0
Female,58,Yes,1,1
Female,42,No,1,0
Female,21,No,1,0
Female,49,Yes,1,1
Female,19,Yes,1,1
Female,75,Yes,1,1
Male,50,No,0,0
Female,47,Yes,1,1
Male,72,No,0,0
Female,35,No,1,0
Female,35,No,1,0
Female,66,Yes,1,1
Female,65,Yes,1,1
Male,53,Yes,0,1
Female,52,No,1,0
Female,23,Yes,1,1
Male,64,No,0,0
Male,59,No,0,0
Female,35,Yes,1,1
Female,28,Yes,1,1
Female,32,Yes,1,1
Female,18,No,1,0
Female,50,Yes,1,1
Female,52,Yes,1,1
Male,62,Yes,0,1
Male,63,No,0,0
Female,54,Yes,1,1
Female,65,Yes,1,1
Male,65,No,0,0
Female,79,No,1,0
Male,64,No,0,0
Male,58,No,0,0
Male,55,Yes,0,1
Female,61,Yes,1,1
Female,69,Yes,1,1
Male,32,No,0,0
Male,73,Yes,0,1
Female,75,Yes,1,1
Male,59,Yes,0,1
Female,50,Yes,1,1
Female,58,Yes,1,1
Female,54,No,1,0
Female,44,Yes,1,1
Female,38,Yes,1,1
Female,37,No,1,0
Male,21,No,0,0
Male,70,No,0,0
Female,46,Yes,1,1
Female,70,Yes,1,1
Female,71,Yes,1,1
Male,62,No,0,0
Male,80,Yes,0,1
Female,69,Yes,1,1
Female,80,Yes,1,1
Female,43,Yes,1,1
Male,58,No,0,0
Female,61,Yes,1,1
Female,23,No,1,0
Male,83,Yes,0,1
Male,67,Yes,0,1
Male,77,Yes,0,1
Female,41,Yes,1,1
Male,31,Yes,0,1
Female,33,Yes,1,1
Male,37,No,0,0
