Index,Date,Year,Round,Region,wSeed,Winner,WConf,WScore,LSeed,Loser,LConf,LScore,OT
67,13-Mar-86,1986,64,Southeast,2,Georgia Tech,ACC,68,15,Marist,MAAC,53,
68,13-Mar-86,1986,64,East,1,Duke,ACC,85,16,Mississippi Valley,NA,78,
69,13-Mar-86,1986,64,West,6,UAB,CUSA,66,11,Missouri,SEC,64,
70,13-Mar-86,1986,64,Midwest,1,Kansas,B12,71,16,North Carolina A&T,MEAC,46,
71,13-Mar-86,1986,64,East,4,Oklahoma,B12,80,13,Northeastern,CAA,74,
72,13-Mar-86,1986,64,Southeast,11,LSU,SEC,94,6,Purdue,B10,87,2 OT
73,13-Mar-86,1986,64,Midwest,4,Georgetown,BE,70,13,Texas Tech,B12,64,
74,13-Mar-86,1986,64,West,3,North Carolina,ACC,84,14,Utah,P12,72,
75,13-Mar-86,1986,64,West,7,Bradley,MVC,83,10,UTEP,CUSA,65,
76,13-Mar-86,1986,64,East,12,DePaul,BE,72,5,Virginia,ACC,68,
77,13-Mar-86,1986,64,Southeast,10,Villanova,BE,71,7,Virginia Tech,ACC,62,
78,13-Mar-86,1986,64,Midwest,5,Michigan St.,B10,72,12,Washington,P12,70,
79,13-Mar-86,1986,64,East,8,Old Dominion,CUSA,72,9,West Virginia,B12,64,
80,14-Mar-86,1986,64,Midwest,2,Michigan,B10,70,15,Akron,MAC,64,
81,14-Mar-86,1986,64,West,8,Auburn,SEC,73,9,Arizona,P12,63,
82,14-Mar-86,1986,64,East,2,Syracuse,ACC,101,15,Brown,Ivy,52,
83,14-Mar-86,1986,64,Southeast,1,Kentucky,SEC,75,16,Davidson,A10,55,
84,14-Mar-86,1986,64,Southeast,4,Illinois,B10,75,13,Fairfield,MAAC,51,
85,14-Mar-86,1986,64,East,14,Cleveland St.,Horz,83,3,Indiana,B10,79,
86,14-Mar-86,1986,64,Midwest,6,North Carolina St.,ACC,66,11,Iowa,B10,64,
87,14-Mar-86,1986,64,West,4,UNLV,MWC,74,13,Louisiana Monroe,SB,51,
88,14-Mar-86,1986,64,Midwest,7,Iowa St.,B12,81,10,Miami OH,MAC,79,1 OT
89,14-Mar-86,1986,64,West,1,St. John's,BE,83,16,Montana St.,BSky,74,
90,14-Mar-86,1986,64,Southeast,8,Western Kentucky,CUSA,67,9,Nebraska,B10,59,
91,14-Mar-86,1986,64,Midwest,14,Arkansas Little Rock,SB,90,3,Notre Dame,ACC,83,
92,14-Mar-86,1986,64,West,5,Maryland,B10,69,12,Pepperdine,WCC,64,
93,14-Mar-86,1986,64,East,6,Saint Joseph's,A10,60,11,Richmond,A10,59,
94,14-Mar-86,1986,64,East,7,Navy,Pat,87,10,Tulsa,Amer,68,
95,14-Mar-86,1986,64,Southeast,5,Alabama,SEC,97,12,Xavier,BE,80,
96,15-Mar-86,1986,32,West,2,Louisville,ACC,82,7,Bradley,MVC,68,
97,15-Mar-86,1986,32,Midwest,5,Michigan St.,B10,80,4,Georgetown,BE,68,
98,15-Mar-86,1986,32,Southeast,11,LSU,SEC,83,3,Memphis,Amer,81,
99,15-Mar-86,1986,32,East,12,DePaul,BE,74,4,Oklahoma,B12,69,
100,15-Mar-86,1986,32,East,1,Duke,ACC,89,8,Old Dominion,CUSA,61,
101,15-Mar-86,1986,32,Midwest,1,Kansas,B12,65,9,Temple,Amer,43,
102,15-Mar-86,1986,32,West,3,North Carolina,ACC,77,6,UAB,CUSA,59,
103,15-Mar-86,1986,32,Southeast,2,Georgia Tech,ACC,66,10,Villanova,BE,61,
104,16-Mar-86,1986,32,Midwest,6,North Carolina St.,ACC,80,14,Arkansas Little Rock,SB,66,2 OT
105,16-Mar-86,1986,32,Southeast,5,Alabama,SEC,58,4,Illinois,B10,56,
106,16-Mar-86,1986,32,West,4,UNLV,MWC,70,5,Maryland,B10,64,
107,16-Mar-86,1986,32,Midwest,7,Iowa St.,B12,72,2,Michigan,B10,69,
108,16-Mar-86,1986,32,East,14,Cleveland St.,Horz,75,6,Saint Joseph's,A10,69,
109,16-Mar-86,1986,32,West,8,Auburn,SEC,81,1,St. John's,BE,65,
110,16-Mar-86,1986,32,East,7,Navy,Pat,97,2,Syracuse,ACC,85,
111,16-Mar-86,1986,32,Southeast,1,Kentucky,SEC,71,8,Western Kentucky,CUSA,64,
112,20-Mar-86,1986,16,Southeast,1,Kentucky,SEC,68,5,Alabama,SEC,63,
113,20-Mar-86,1986,16,Southeast,11,LSU,SEC,70,2,Georgia Tech,ACC,64,
114,20-Mar-86,1986,16,West,2,Louisville,ACC,94,3,North Carolina,ACC,79,
115,20-Mar-86,1986,16,West,8,Auburn,SEC,70,4,UNLV,MWC,63,
116,21-Mar-86,1986,16,East,7,Navy,Pat,71,14,Cleveland St.,Horz,70,
117,21-Mar-86,1986,16,East,1,Duke,ACC,74,12,DePaul,BE,67,
118,21-Mar-86,1986,16,Midwest,6,North Carolina St.,ACC,70,7,Iowa St.,B12,66,
119,21-Mar-86,1986,16,Midwest,1,Kansas,B12,96,5,Michigan St.,B10,86,1 OT
120,22-Mar-86,1986,8,West,2,Louisville,ACC,84,8,Auburn,SEC,76,
121,22-Mar-86,1986,8,Southeast,11,LSU,SEC,59,1,Kentucky,SEC,57,
122,23-Mar-86,1986,8,East,1,Duke,ACC,71,7,Navy,Pat,50,
123,23-Mar-86,1986,8,Midwest,1,Kansas,B12,75,6,North Carolina St.,ACC,67,
124,29-Mar-86,1986,4,Final Four,1,Duke,ACC,71,1,Kansas,B12,67,
125,29-Mar-86,1986,4,Final Four,2,Louisville,ACC,88,11,LSU,SEC,77,
126,31-Mar-86,1986,Champ,Championship,2,Louisville,ACC,72,1,Duke,ACC,69,
127,12-Mar-87,1987,64,Southeast,7,New Orleans,Slnd,83,10,BYU,WCC,79,
128,12-Mar-87,1987,64,West,4,UCLA,P12,92,13,Central Michigan,MAC,73,
129,12-Mar-87,1987,64,Midwest,1,Indiana,B10,92,16,Fairfield,MAAC,58,
130,12-Mar-87,1987,64,West,9,Kansas St.,B12,82,8,Georgia,SEC,79,1 OT
131,12-Mar-87,1987,64,West,1,UNLV,MWC,95,16,Idaho St.,BSky,70,
132,12-Mar-87,1987,64,Southeast,14,Austin Peay,OVC,68,3,Illinois,B10,67,
133,12-Mar-87,1987,64,East,4,TCU,B12,76,13,Marshall,CUSA,60,
