"","X","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"20",20,1986,"1986-08-01","Howard the Duck","Universal Pictures","USA","PG","Action",35,16.295774,77.35,36.01366054,-41.33633946,110,36020,4.6,"Willard Huyck","Lea Thompson","Steve Gerber"
"21",21,1986,"1986-04-11","Critters","New Line Cinema","USA","PG-13","Action",2,13.167232,4.42,29.09958272,24.67958272,82,25517,6,"Stephen Herek","Dee Wallace","Domonic Muir"
"22",22,1986,"1986-06-13","Back to School","Orion Pictures","USA","PG-13","Comedy",11,91.258,24.31,201.68018,177.37018,96,23120,6.6,"Alan Metter","Rodney Dangerfield","Rodney Dangerfield"
"23",24,1986,"1986-12-05","Heartbreak Ridge","Jay Weston Productions","USA","R","Action",15,42.724017,33.15,94.42007757,61.27007757,130,32954,6.8,"Clint Eastwood","Clint Eastwood","James Carabatsos"
"24",25,1986,"1986-11-26","Star Trek IV: The Voyage Home","Paramount Pictures","USA","PG","Adventure",25,109.713132,55.25,242.46602172,187.21602172,119,66366,7.3,"Leonard Nimoy","William Shatner","Gene Roddenberry"
"25",26,1986,"1986-05-09","Short Circuit","TriStar Pictures","USA","PG","Comedy",0,40.697761,0,89.94205181,89.94205181,98,47068,6.6,"John Badham","Ally Sheedy","S.S. Wilson"
"26",27,1986,"1986-09-24","The Name of the Rose","Neue Constantin Film","Italy","R","Crime",0,7.153487,0,15.80920627,15.80920627,130,86991,7.8,"Jean-Jacques Annaud","Sean Connery","Umberto Eco"
"27",28,1986,"1986-01-17","Iron Eagle","TriStar Pictures","USA","PG-13","Action",0,24.159872,0,53.39331712,53.39331712,117,11304,5.3,"Sidney J. Furie","Louis Gossett Jr.","Kevin Alyn Elders"
"28",29,1986,"1986-12-12","The Golden Child","Paramount Pictures","USA","PG-13","Action",25,79.817937,55.25,176.39764077,121.14764077,94,42997,5.9,"Michael Ritchie","Eddie Murphy","Dennis Feldman"
"29",30,1986,"1987-05-08","River's Edge","Hemdale","USA","R","Crime",1.9,4.6,4.199,10.166,5.967,99,12862,7.1,"Tim Hunter","Crispin Glover","Neal Jimenez"
"30",31,1986,"1986-12-12","¡Three Amigos!","L.A. Films","USA","PG","Comedy",25,39.246734,55.25,86.73528214,31.48528214,104,57406,6.4,"John Landis","Steve Martin","Steve Martin"
"31",32,1986,"1986-05-23","Cobra","Warner Bros.","USA","R","Action",25,49.042224,55.25,108.38331504,53.13331504,87,54851,5.7,"George P. Cosmatos","Sylvester Stallone","Paula Gosling"
"32",34,1986,"1986-10-31","The Mission","Warner Bros.","UK","PG","Adventure",24.5,17.218023,54.145,38.05183083,-16.09316917,125,47497,7.5,"Roland Joffé","Robert De Niro","Robert Bolt"
"33",35,1986,"1986-10-17","The Color of Money","Touchstone Pictures","USA","R","Drama",13.8,52.293982,30.498,115.56970022,85.07170022,119,62495,7,"Martin Scorsese","Paul Newman","Walter Tevis"
"34",36,1986,"1986-06-20","The Karate Kid Part II","Columbia Pictures Corporation","USA","PG","Action",0,115.103979,0,254.37979359,254.37979359,113,58370,5.9,"John G. Avildsen","Pat Morita","Robert Mark Kamen"
"35",37,1986,"1986-09-26","The Boy Who Could Fly","Lorimar Productions","USA","PG","Drama",0,7.177431,0,15.86212251,15.86212251,114,4623,6.5,"Nick Castle","Lucy Deakins","Nick Castle"
"36",38,1986,"1986-02-21","The Hitcher","HBO Films","USA","R","Thriller",6,5.844868,13.26,12.91715828,-0.342841720000001,97,36191,7.3,"Robert Harmon","Rutger Hauer","Eric Red"
"37",39,1986,"1986-03-26","The Money Pit","Amblin Entertainment","USA","PG","Comedy",10,37.499651,22.1,82.87422871,60.77422871,91,41278,6.3,"Richard Benjamin","Tom Hanks","David Giler"
"38",40,1986,"1986-08-01","Jason Lives: Friday the 13th Part VI","Paramount Pictures","USA","R","Horror",3,19.472057,6.63,43.03324597,36.40324597,86,28310,5.9,"Tom McLoughlin","Thom Mathews","Tom McLoughlin"
"39",41,1986,"1986-11-26","The Mosquito Coast","The Saul Zaentz Company","USA","PG","Adventure",25,14.302779,55.25,31.60914159,-23.64085841,117,23076,6.6,"Peter Weir","Harrison Ford","Paul Theroux"
"40",42,1986,"1986-11-21","An American Tail","Universal Pictures","USA","G","Animation",0,47.483002,0,104.93743442,104.93743442,80,41004,6.9,"Don Bluth","Dom DeLuise","Judy Freudberg"
"41",43,1986,"1986-11-07","Sid and Nancy","Initial Pictures","UK","R","Biography",4,2.826523,8.84,6.24661583,-2.59338417,112,25032,7.1,"Alex Cox","Gary Oldman","Alex Cox"
"42",44,1986,"1986-12-19","King Kong Lives","De Laurentiis Entertainment Group (DEG)","USA","PG-13","Action",10,4.71122,22.1,10.4117962,-11.6882038,105,4401,3.8,"John Guillermin","Brian Kerwin","Ronald Shusett"
"43",45,1986,"1986-10-24","From Beyond","Empire Pictures","USA","R","Horror",4.5,1.261,9.945,2.78681,-7.15819,86,16636,6.7,"Stuart Gordon","Jeffrey Combs","H.P. Lovecraft"
"44",46,1986,"1986-10-10","Peggy Sue Got Married","TriStar Pictures","USA","PG-13","Comedy",18,41.382841,39.78,91.45607861,51.67607861,103,28529,6.3,"Francis Ford Coppola","Kathleen Turner","Jerry Leichtling"
"45",47,1986,"1986-05-23","Poltergeist II: The Other Side","Freddie Fields Productions","USA","PG-13","Horror",19,40.996665,41.99,90.60262965,48.61262965,91,20669,5.7,"Brian Gibson","JoBeth Williams","Mark Victor"
"46",48,1986,"1986-01-17","Troll","Empire Pictures","USA","PG-13","Comedy",1.1,5.450815,2.431,12.04630115,9.61530115,82,7569,4.3,"John Carl Buechler","Michael Moriarty","Ed Naha"
"47",49,1986,"1986-06-27","Running Scared","Metro-Goldwyn-Mayer (MGM)","USA","R","Action",0,38.500726,0,85.08660446,85.08660446,107,9344,6.5,"Peter Hyams","Gregory Hines","Gary DeVore"
"48",50,1986,"1986-02-14","Wildcats","Hawn / Sylbert Movie Company","USA","R","Comedy",0,26.285544,0,58.09105224,58.09105224,106,10239,5.9,"Michael Ritchie","Goldie Hawn","Ezra Sacks"
"49",52,1986,"1986-06-06","SpaceCamp","ABC Motion Pictures","USA","PG","Adventure",18,9.697739,39.78,21.43200319,-18.34799681,107,11484,5.6,"Harry Winer","Kate Capshaw","Clifford Green"
"50",53,1986,"1986-03-14","Hannah and Her Sisters","Orion Pictures","USA","PG-13","Comedy",6.4,40.084041,14.144,88.58573061,74.44173061,107,56988,8,"Woody Allen","Mia Farrow","Woody Allen"
"51",54,1986,"1986-07-02","The Great Mouse Detective","Walt Disney Pictures","USA","G","Animation",14,38.6,30.94,85.306,54.366,74,36539,7.2,"Ron Clements","Vincent Price","Peter Young"
"52",55,1986,"1986-06-06","Raw Deal","De Laurentiis Entertainment Group (DEG)","USA","R","Action",8.5,16.209459,18.785,35.82290439,17.03790439,106,24851,5.5,"John Irvin","Arnold Schwarzenegger","Luciano Vincenzoni"
"53",56,1986,"1986-08-08","The Transformers: The Movie","Sunbow Productions","USA","PG","Animation",6,5.849647,13.26,12.92771987,-0.332280130000001,84,33609,7.3,"Nelson Shin","Orson Welles","Ron Friedman"
"54",57,1986,"1986-03-28","Rad","TaliaFilm II Productions","USA","PG","Drama",0,2.015882,0,4.45509922,4.45509922,91,4039,7.2,"Hal Needham","Bart Conner","Sam Bernard"
"55",58,1986,"1986-08-22","Night of the Creeps","TriStar Pictures","USA","R","Comedy",5,0.591366,11.05,1.30691886,-9.74308114,88,16077,6.8,"Fred Dekker","Jason Lively","Fred Dekker"
"56",59,1986,"1986-06-06","Invaders from Mars","Cannon Pictures","USA","PG","Horror",12,4.884663,26.52,10.79510523,-15.72489477,100,5878,5.5,"Tobe Hooper","Karen Black","Richard Blake"
"57",60,1986,"1986-03-14","Crossroads","Columbia Pictures Corporation","USA","R","Drama",0,5.839031,0,12.90425851,12.90425851,99,11415,7.1,"Walter Hill","Ralph Macchio","John Fusco"
"58",61,1986,"1987-02-27","Hoosiers","De Haven Productions","UK","PG","Drama",6,28.607524,13.26,63.22262804,49.96262804,114,36604,7.6,"David Anspaugh","Gene Hackman","Angelo Pizzo"
"59",62,1986,"1986-11","Sacrifice","Svenska Filminstitutet (SFI)","Sweden","PG","Drama",0,0.300653,0,0.66444313,0.66444313,149,16571,8.1,"Andrei Tarkovsky","Erland Josephson","Andrei Tarkovsky"
"60",63,1986,"1986-04-18","At Close Range","Cinema '85","USA","R","Crime",6.5,2.347,14.365,5.18687,-9.17813,111,11607,7,"James Foley","Sean Penn","Elliott Lewitt"
"61",64,1986,"1986-01-31","Youngblood","Blueline Productions","USA","R","Drama",0,15.448384,0,34.14092864,34.14092864,110,10412,6.1,"Peter Markle","Rob Lowe","Peter Markle"
"62",65,1986,"1986-05-02","No Retreat, No Surrender","Seasonal Film Corporation","USA","PG","Action",0,4.662137,0,10.30332277,10.30332277,85,12803,5.6,"Corey Yuen","Kurt McKinney","See-Yuen Ng"
"63",66,1986,"1986-07-02","Psicosis III","Universal Pictures","USA","R","Horror",0,14.481606,0,32.00434926,32.00434926,93,10022,5.3,"Anthony Perkins","Anthony Perkins","Charles Edward Pogue"
"64",67,1986,"1986-07-25","Heartburn","Paramount Pictures","USA","R","Comedy",20,25.314289,44.2,55.94457869,11.74457869,108,7570,6.1,"Mike Nichols","Meryl Streep","Nora Ephron"
"65",68,1986,"1986-01-17","The Clan of the Cave Bear","Warner Bros.","USA","R","Adventure",15,1.953732,33.15,4.31774772,-28.83225228,98,5340,5.3,"Michael Chapman","Daryl Hannah","Jean M. Auel"
"66",69,1986,"1986-02-14","The Delta Force","Golan-Globus Productions","USA","R","Action",12,17.7689,26.52,39.269269,12.749269,125,15819,5.6,"Menahem Golan","Chuck Norris","James Bruner"
