conrinc,gunlaw,god,gender1,age
0,0,4,1,83
0,0,6,1,64
42130,0,2,1,38
0,1,6,2,25
0,8,3,1,81
383,1,2,2,23
12447.5,1,6,2,21
4979,1,4,1,56
10532.5,0,5,2,30
0,2,5,1,69
0,2,5,1,62
63195,1,5,1,39
3447,1,1,1,25
0,0,6,1,75
76600,2,2,1,46
18192.5,1,6,1,57
0,1,5,2,20
76600,1,6,2,53
51705,2,6,1,53
18192.5,0,6,1,42
91920,1,5,1,63
0,1,2,2,55
107240,1,6,1,54
76600,2,6,1,77
28725,1,6,2,48
16277.5,0,6,2,52
34470,1,6,1,31
8617.5,0,6,1,57
2681,0,4,2,21
18192.5,1,5,2,50
42130,1,6,1,38
34470,1,6,2,33
21065,1,4,1,26
0,1,3,2,33
42130,1,5,1,44
51705,1,5,1,25
34470,1,3,1,27
2681,0,5,1,27
34470,1,2,1,28
28725,0,3,1,22
0,1,6,2,48
0,1,5,1,89
34470,1,6,2,49
0,1,5,2,87
4213,1,3,1,64
16277.5,1,6,1,41
0,1,5,2,57
0,0,6,2,46
14362.5,1,5,2,58
383,1,3,1,78
0,1,4,2,45
28725,0,5,2,38
8617.5,1,5,2,69
76600,1,6,1,61
91920,1,2,1,48
21065,0,5,2,37
0,1,3,1,47
51705,2,2,1,26
42130,1,5,2,41
0,1,2,2,55
0,0,5,2,81
76600,2,2,1,32
21065,1,3,1,27
10532.5,0,3,2,32
14362.5,1,6,1,39
51705,1,6,1,55
91920,2,3,2,35
383,1,1,1,64
0,1,6,2,85
0,1,5,1,52
0,1,6,2,46
0,1,6,2,34
0,0,5,2,55
0,1,6,1,72
24895,0,6,2,34
42130,1,6,2,35
42130,0,6,2,61
0,1,6,1,56
0,1,6,2,60
0,1,3,1,65
0,1,6,2,85
16277.5,0,6,2,42
10532.5,2,6,2,27
0,1,6,2,85
42130,1,6,1,63
1532,1,2,1,61
51705,0,4,2,27
107240,1,1,1,48
42130,0,3,1,25
34470,0,3,1,34
0,1,1,1,37
0,1,1,2,64
63195,0,3,1,82
0,2,3,1,43
383,2,1,2,54
10532.5,1,3,1,25
0,1,2,2,78
1532,1,6,2,19
0,0,2,1,64
18192.5,1,5,1,23
51705,1,2,1,31
76600,1,3,1,41
16277.5,1,6,2,29
28725,0,2,2,51
34470,0,6,1,55
34470,1,6,2,36
0,0,5,2,87
63195,0,5,1,28
63195,1,6,1,35
324512.2921,1,6,1,37
0,0,6,1,84
0,1,3,1,21
91920,2,6,1,49
0,1,6,1,42
0,0,6,1,69
51705,2,6,2,32
42130,1,6,1,69
0,2,1,2,48
1532,2,5,1,20
34470,2,1,2,51
14362.5,1,6,1,60
24895,0,5,2,59
0,1,6,2,89
3447,1,4,1,18
0,1,6,1,62
10532.5,0,6,1,54
4213,1,3,1,19
24895,1,6,2,38
34470,2,6,1,31
21065,0,5,2,51
14362.5,1,6,1,23
76600,1,2,2,48
12447.5,0,6,2,45
0,2,2,1,20
0,0,5,2,70
10532.5,1,6,1,58
0,2,6,1,63
0,1,3,1,44
0,0,6,2,87
0,0,6,2,50
0,0,6,2,52
51705,2,6,1,32
324512.2921,0,5,1,43
324512.2921,2,5,1,51
63195,1,2,1,58
0,1,6,2,75
0,2,6,1,71
0,2,6,2,72
16277.5,1,3,1,64
0,0,6,2,35
34470,0,6,1,34
51705,2,5,1,71
0,1,4,1,41
51705,0,6,1,34
10532.5,1,6,1,50
12447.5,2,3,1,23
0,2,6,1,53
4213,0,6,1,64
0,0,3,1,41
14362.5,1,2,1,46
14362.5,1,3,1,54
24895,0,6,1,67
34470,1,6,2,53
63195,1,6,2,59
0,1,5,1,65
76600,0,6,1,51
0,1,6,1,39
0,0,6,2,49
0,1,3,1,30
0,0,5,2,57
76600,1,2,2,36
324512.2921,0,6,2,39
0,1,6,1,38
324512.2921,1,2,2,46
76600,1,5,1,41
51705,0,5,1,29
0,1,2,2,58
76600,1,5,2,48
0,1,5,1,31
34470,0,4,2,54
0,0,6,2,37
24895,1,6,2,48
0,1,5,2,58
0,0,6,2,77
3447,1,6,2,44
16277.5,8,4,2,27
0,2,6,2,19
34470,1,4,1,55
28725,1,5,2,52
0,0,1,1,63
14362.5,2,6,2,39
0,0,6,1,68
0,0,6,1,82
0,1,6,2,59
0,0,3,2,64
51705,0,6,2,47
21065,2,6,1,45
63195,1,6,1,37
2681,0,1,2,20
34470,2,6,1,31
383,0,3,1,22
0,0,5,2,61
42130,0,6,1,56
8617.5,2,3,2,34
28725,0,6,1,53
21065,1,5,1,22
0,0,5,2,39
18192.5,1,6,2,25
0,0,6,1,75
63195,1,2,1,44
10532.5,1,2,1,26
34470,1,6,1,40
28725,1,5,1,33
42130,0,6,1,49
3447,2,6,1,49
51705,1,4,1,48
91920,1,2,1,40
0,1,6,1,80
383,0,5,1,21
0,8,9,1,38
0,2,6,1,74
0,2,6,1,75
51705,1,6,1,40
0,2,6,2,50
12447.5,0,6,1,48
16277.5,1,6,1,32
51705,1,6,1,41
0,1,6,1,26
28725,0,6,2,57
0,2,6,2,30
0,1,6,2,41
0,1,6,1,50
0,1,5,1,30
18192.5,0,6,2,47
0,1,6,2,65
0,0,6,1,43
0,1,6,2,20
51705,0,6,2,47
34470,1,6,1,31
21065,0,6,1,35
21065,1,3,1,58
0,0,6,1,66
0,1,6,1,37
42130,2,5,2,40
51705,0,6,1,56
16277.5,1,6,2,49
51705,2,6,2,30
42130,1,6,2,45
0,1,6,1,77
0,2,6,2,30
21065,1,6,1,43
12447.5,0,6,2,31
0,1,6,2,58
21065,1,6,2,62
0,0,6,1,73
18192.5,1,6,2,60
0,0,3,1,32
8617.5,1,3,1,24
0,0,1,1,71
63195,0,6,1,31
4213,1,3,2,42
0,0,6,2,80
0,1,6,2,76
0,0,6,2,40
4979,2,6,2,29
0,0,6,2,86
0,1,6,1,53
14362.5,1,6,2,48
0,1,6,2,86
0,1,6,1,71
2681,8,6,1,50
0,1,6,1,40
42130,1,6,1,30
8617.5,1,6,1,68
51705,0,6,1,37
0,2,6,2,41
0,1,3,1,64
0,1,5,1,72
42130,1,2,2,40
0,1,6,2,43
0,0,3,1,84
76600,1,6,2,34
16277.5,1,6,2,79
0,1,6,1,60
0,2,6,1,59
0,0,6,2,59
0,1,6,2,63
0,0,5,2,66
0,1,6,2,49
0,0,5,1,66
51705,1,6,1,42
324512.2921,0,6,1,52
107240,1,6,1,42
