conrinc,gunlaw,god,age,gender1
0,0,4,83,1
0,0,6,64,1
42130,0,2,38,1
0,1,6,25,2
0,8,3,81,1
383,1,2,23,2
12447.5,1,6,21,2
4979,1,4,56,1
10532.5,0,5,30,2
0,2,5,69,1
0,2,5,62,1
63195,1,5,39,1
3447,1,1,25,1
0,0,6,75,1
76600,2,2,46,1
18192.5,1,6,57,1
0,1,5,20,2
76600,1,6,53,2
51705,2,6,53,1
18192.5,0,6,42,1
91920,1,5,63,1
0,1,2,55,2
107240,1,6,54,1
76600,2,6,77,1
28725,1,6,48,2
16277.5,0,6,52,2
34470,1,6,31,1
8617.5,0,6,57,1
2681,0,4,21,2
18192.5,1,5,50,2
42130,1,6,38,1
34470,1,6,33,2
21065,1,4,26,1
0,1,3,33,2
42130,1,5,44,1
51705,1,5,25,1
34470,1,3,27,1
2681,0,5,27,1
34470,1,2,28,1
28725,0,3,22,1
0,1,6,48,2
0,1,5,89,1
34470,1,6,49,2
0,1,5,87,2
4213,1,3,64,1
16277.5,1,6,41,1
0,1,5,57,2
0,0,6,46,2
14362.5,1,5,58,2
383,1,3,78,1
0,1,4,45,2
28725,0,5,38,2
8617.5,1,5,69,2
76600,1,6,61,1
91920,1,2,48,1
21065,0,5,37,2
0,1,3,47,1
51705,2,2,26,1
42130,1,5,41,2
0,1,2,55,2
0,0,5,81,2
76600,2,2,32,1
21065,1,3,27,1
10532.5,0,3,32,2
14362.5,1,6,39,1
51705,1,6,55,1
91920,2,3,35,2
383,1,1,64,1
0,1,6,85,2
0,1,5,52,1
0,1,6,46,2
0,1,6,34,2
0,0,5,55,2
0,1,6,72,1
24895,0,6,34,2
42130,1,6,35,2
42130,0,6,61,2
0,1,6,56,1
0,1,6,60,2
0,1,3,65,1
0,1,6,85,2
16277.5,0,6,42,2
10532.5,2,6,27,2
0,1,6,85,2
42130,1,6,63,1
1532,1,2,61,1
51705,0,4,27,2
107240,1,1,48,1
42130,0,3,25,1
34470,0,3,34,1
0,1,1,37,1
0,1,1,64,2
63195,0,3,82,1
0,2,3,43,1
383,2,1,54,2
10532.5,1,3,25,1
0,1,2,78,2
1532,1,6,19,2
0,0,2,64,1
18192.5,1,5,23,1
51705,1,2,31,1
76600,1,3,41,1
16277.5,1,6,29,2
28725,0,2,51,2
34470,0,6,55,1
34470,1,6,36,2
0,0,5,87,2
63195,0,5,28,1
63195,1,6,35,1
324512.2921,1,6,37,1
0,0,6,84,1
0,1,3,21,1
91920,2,6,49,1
0,1,6,42,1
0,0,6,69,1
51705,2,6,32,2
42130,1,6,69,1
0,2,1,48,2
1532,2,5,20,1
34470,2,1,51,2
14362.5,1,6,60,1
24895,0,5,59,2
0,1,6,89,2
3447,1,4,18,1
0,1,6,62,1
10532.5,0,6,54,1
4213,1,3,19,1
24895,1,6,38,2
34470,2,6,31,1
21065,0,5,51,2
14362.5,1,6,23,1
76600,1,2,48,2
12447.5,0,6,45,2
0,2,2,20,1
0,0,5,70,2
10532.5,1,6,58,1
0,2,6,63,1
0,1,3,44,1
0,0,6,87,2
0,0,6,50,2
0,0,6,52,2
51705,2,6,32,1
324512.2921,0,5,43,1
324512.2921,2,5,51,1
63195,1,2,58,1
0,1,6,75,2
0,2,6,71,1
0,2,6,72,2
16277.5,1,3,64,1
0,0,6,35,2
34470,0,6,34,1
51705,2,5,71,1
0,1,4,41,1
51705,0,6,34,1
10532.5,1,6,50,1
12447.5,2,3,23,1
0,2,6,53,1
4213,0,6,64,1
0,0,3,41,1
14362.5,1,2,46,1
14362.5,1,3,54,1
24895,0,6,67,1
34470,1,6,53,2
63195,1,6,59,2
0,1,5,65,1
76600,0,6,51,1
0,1,6,39,1
0,0,6,49,2
0,1,3,30,1
0,0,5,57,2
76600,1,2,36,2
324512.2921,0,6,39,2
0,1,6,38,1
324512.2921,1,2,46,2
76600,1,5,41,1
51705,0,5,29,1
0,1,2,58,2
76600,1,5,48,2
0,1,5,31,1
34470,0,4,54,2
0,0,6,37,2
24895,1,6,48,2
0,1,5,58,2
0,0,6,77,2
3447,1,6,44,2
16277.5,8,4,27,2
0,2,6,19,2
34470,1,4,55,1
28725,1,5,52,2
0,0,1,63,1
14362.5,2,6,39,2
0,0,6,68,1
0,0,6,82,1
0,1,6,59,2
0,0,3,64,2
51705,0,6,47,2
21065,2,6,45,1
63195,1,6,37,1
2681,0,1,20,2
34470,2,6,31,1
383,0,3,22,1
0,0,5,61,2
42130,0,6,56,1
8617.5,2,3,34,2
28725,0,6,53,1
21065,1,5,22,1
0,0,5,39,2
18192.5,1,6,25,2
0,0,6,75,1
63195,1,2,44,1
10532.5,1,2,26,1
34470,1,6,40,1
28725,1,5,33,1
42130,0,6,49,1
3447,2,6,49,1
51705,1,4,48,1
91920,1,2,40,1
0,1,6,80,1
383,0,5,21,1
0,8,9,38,1
0,2,6,74,1
0,2,6,75,1
51705,1,6,40,1
0,2,6,50,2
12447.5,0,6,48,1
16277.5,1,6,32,1
51705,1,6,41,1
0,1,6,26,1
28725,0,6,57,2
0,2,6,30,2
0,1,6,41,2
0,1,6,50,1
0,1,5,30,1
18192.5,0,6,47,2
0,1,6,65,2
0,0,6,43,1
0,1,6,20,2
51705,0,6,47,2
34470,1,6,31,1
21065,0,6,35,1
21065,1,3,58,1
0,0,6,66,1
0,1,6,37,1
42130,2,5,40,2
51705,0,6,56,1
16277.5,1,6,49,2
51705,2,6,30,2
42130,1,6,45,2
0,1,6,77,1
0,2,6,30,2
21065,1,6,43,1
12447.5,0,6,31,2
0,1,6,58,2
21065,1,6,62,2
0,0,6,73,1
18192.5,1,6,60,2
0,0,3,32,1
8617.5,1,3,24,1
0,0,1,71,1
63195,0,6,31,1
4213,1,3,42,2
0,0,6,80,2
0,1,6,76,2
0,0,6,40,2
4979,2,6,29,2
0,0,6,86,2
0,1,6,53,1
14362.5,1,6,48,2
0,1,6,86,2
0,1,6,71,1
2681,8,6,50,1
0,1,6,40,1
42130,1,6,30,1
8617.5,1,6,68,1
51705,0,6,37,1
0,2,6,41,2
0,1,3,64,1
0,1,5,72,1
42130,1,2,40,2
0,1,6,43,2
0,0,3,84,1
76600,1,6,34,2
16277.5,1,6,79,2
0,1,6,60,1
0,2,6,59,1
0,0,6,59,2
0,1,6,63,2
0,0,5,66,2
0,1,6,49,2
0,0,5,66,1
51705,1,6,42,1
324512.2921,0,6,52,1
107240,1,6,42,1
324512.2921,2,6,45,1
63195,0,3,37,1
51705,2,6,49,1
0,0,6,31,1
34470,1,2,81,1
76600,1,6,30,1
3447,0,6,29,1
21065,1,6,58,1
34470,1,6,76,2
34470,1,6,49,1
0,1,6,42,1
63195,0,3,56,1
76600,1,6,40,2
42130,0,3,35,2
34470,1,6,36,1
14362.5,1,5,56,1
91920,0,6,37,1
6894,1,3,35,2
18192.5,2,1,24,2
42130,0,4,70,1
0,1,4,28,1
0,0,6,51,1
14362.5,1,6,30,1
0,0,4,80,2
28725,1,6,46,2
0,0,6,78,2
34470,1,6,64,2
42130,1,5,50,2
0,0,2,63,1
28725,0,6,66,1
