conrinc,gunlaw,god,age,gender1
2681,2,6,19,1
0,0,6,59,2
0,0,6,37,2
0,1,6,99,2
42130,2,6,37,2
21065,1,6,47,2
0,1,6,77,1
4213,2,3,21,1
0,0,6,71,2
0,1,6,59,2
0,0,6,28,1
21065,1,6,57,2
51705,1,6,37,1
18192.5,0,5,37,2
0,2,6,49,1
51705,2,3,63,1
0,2,5,22,2
34470,1,6,45,1
0,0,6,82,2
0,1,6,59,2
4979,1,6,41,1
21065,2,6,47,2
0,1,5,29,2
8617.5,0,6,52,1
0,2,6,24,2
0,1,6,72,2
8617.5,1,6,52,1
28725,1,6,54,2
51705,1,3,61,2
0,0,6,37,2
63195,1,6,65,1
51705,0,6,33,1
34470,1,6,64,2
0,2,6,52,1
0,1,6,71,1
28725,0,6,65,2
0,0,6,19,2
0,1,6,60,1
0,2,6,60,1
21065,1,6,25,2
34470,1,6,51,1
0,1,5,66,2
0,1,5,68,1
12447.5,8,6,52,1
42130,1,3,37,1
0,0,6,87,2
14362.5,1,3,26,1
0,0,5,76,1
12447.5,1,6,47,1
28725,0,3,52,1
91920,0,6,68,2
0,1,6,53,2
0,0,6,60,2
8617.5,1,5,30,2
0,0,6,82,1
2681,8,6,34,2
0,1,6,65,2
28725,0,6,57,1
24895,1,6,65,2
0,0,6,73,1
16277.5,1,6,50,2
8617.5,2,2,41,1
0,2,6,44,2
0,0,1,74,1
1532,2,6,19,1
6894,2,6,69,1
42130,1,5,62,1
383,0,3,28,2
324512.2921,2,6,44,1
0,1,6,66,1
0,0,6,84,1
0,1,6,29,2
0,1,6,87,1
0,2,6,75,2
0,2,6,47,2
0,2,6,86,2
10532.5,2,5,55,1
0,0,6,76,2
0,1,6,84,1
0,1,6,80,2
0,2,9,63,2
34470,0,6,42,2
21065,1,6,59,1
12447.5,0,6,55,2
5745,1,5,44,1
51705,2,6,50,2
324512.2921,1,6,47,1
51705,0,6,51,1
18192.5,0,6,50,2
4213,1,5,70,1
42130,0,6,30,1
12447.5,2,6,25,2
0,0,2,25,1
0,1,6,54,2
18192.5,1,6,68,2
28725,2,1,47,1
0,1,1,88,2
5745,0,6,77,1
42130,2,6,28,2
0,2,1,58,2
21065,0,6,60,2
28725,1,6,62,1
1532,1,6,38,2
383,1,3,25,2
12447.5,0,5,34,2
0,1,6,89,1
0,2,6,36,1
28725,0,6,53,1
28725,1,6,46,1
28725,1,6,69,2
0,1,6,63,2
34470,1,6,59,2
1532,0,3,19,1
24895,1,6,26,2
21065,2,6,42,1
24895,1,5,52,2
0,0,3,31,1
12447.5,1,6,46,1
0,1,3,18,1
0,0,6,26,1
24895,1,6,40,2
21065,0,1,33,1
0,0,1,57,1
8617.5,2,6,20,2
51705,0,3,42,1
324512.2921,1,5,41,1
0,0,6,73,2
0,1,4,21,1
0,2,4,21,2
34470,0,5,45,2
5745,2,2,21,1
0,0,2,68,2
107240,2,3,46,2
24895,0,1,53,1
24895,1,5,28,2
91920,0,3,34,1
1532,2,4,68,2
8617.5,0,4,43,1
0,2,6,42,2
34470,2,3,59,2
34470,0,6,57,2
0,2,6,24,2
21065,0,5,40,2
76600,1,6,41,2
51705,0,5,59,1
6894,1,6,64,2
51705,0,5,55,1
34470,1,6,55,2
34470,1,6,35,1
0,0,1,33,2
0,1,6,83,1
42130,2,6,48,2
0,1,5,68,1
14362.5,1,6,60,1
10532.5,0,4,38,2
10532.5,1,5,24,2
0,0,6,77,1
0,1,5,46,2
0,0,5,83,2
0,1,5,89,2
0,0,6,86,1
0,1,6,34,1
2681,1,5,45,1
0,0,4,81,1
51705,1,6,45,1
0,2,6,42,1
51705,2,5,43,1
51705,0,6,47,1
24895,1,6,59,1
383,2,6,33,2
0,1,5,22,1
16277.5,0,1,30,1
51705,1,6,32,1
0,2,6,89,1
1532,0,5,25,1
0,2,6,62,1
34470,0,5,35,2
0,1,6,62,1
21065,0,6,51,2
91920,1,6,61,1
51705,1,3,28,1
0,1,5,86,2
0,1,6,85,2
42130,1,6,60,1
0,0,6,44,1
3447,1,6,21,2
34470,0,6,28,1
18192.5,1,2,47,2
76600,1,6,51,1
28725,1,6,53,1
4979,1,6,41,2
24895,0,6,39,1
34470,1,4,42,1
0,1,5,49,2
16277.5,0,3,50,1
21065,1,5,54,1
18192.5,1,6,43,2
0,0,3,22,1
0,1,6,37,1
18192.5,0,6,37,2
0,1,6,41,1
0,0,3,30,1
18192.5,1,6,55,2
8617.5,0,6,46,2
28725,2,1,27,2
28725,1,6,65,1
21065,0,6,65,1
0,1,5,70,2
0,0,2,27,1
0,2,3,33,1
34470,1,5,37,1
28725,1,4,23,2
8617.5,0,6,64,1
24895,2,6,29,1
34470,0,6,43,2
12447.5,2,6,45,2
0,1,6,64,2
0,1,6,76,1
76600,0,6,47,1
0,1,3,21,1
34470,2,6,36,1
42130,2,5,39,1
42130,0,5,30,2
24895,2,6,53,2
0,9,6,58,1
12447.5,0,4,47,1
21065,1,3,34,1
0,1,6,58,2
0,0,4,64,1
24895,2,4,30,1
24895,0,6,52,2
0,1,4,72,1
34470,2,3,51,2
63195,2,6,39,1
0,2,4,49,2
10532.5,0,6,22,2
0,1,6,51,1
16277.5,2,6,33,2
0,1,6,69,2
76600,1,3,48,1
0,0,6,28,2
91920,1,4,66,2
10532.5,0,6,55,2
34470,2,6,45,2
51705,0,2,51,1
18192.5,1,6,55,1
34470,0,6,39,1
21065,1,6,53,2
0,1,6,67,1
14362.5,0,6,37,1
0,0,6,20,1
24895,2,3,23,1
0,1,6,64,1
0,1,6,56,1
0,1,6,59,1
2681,0,5,26,2
12447.5,0,6,81,2
0,1,6,67,1
21065,1,6,53,2
28725,0,6,39,1
34470,1,6,38,1
0,0,6,89,2
2681,0,6,53,2
3447,1,6,60,2
5745,1,6,22,1
6894,0,6,49,2
0,1,6,59,2
0,2,6,33,1
21065,0,5,33,1
0,1,6,77,2
8617.5,0,6,34,2
3447,1,6,55,2
10532.5,2,5,29,1
18192.5,1,6,51,1
0,0,6,26,2
0,2,6,79,2
0,0,6,20,1
10532.5,0,5,24,1
0,0,6,22,1
12447.5,2,2,26,1
63195,2,6,45,1
0,0,6,44,1
324512.2921,1,6,55,1
0,2,6,65,1
91920,0,6,58,2
0,2,4,20,1
1532,0,6,37,1
21065,1,5,32,1
51705,2,6,58,1
2681,1,3,43,2
0,0,2,57,1
4213,1,6,74,1
0,2,6,67,1
51705,0,6,27,1
0,1,5,55,2
63195,0,6,45,1
28725,1,6,42,1
0,0,6,21,2
42130,2,5,28,1
34470,0,5,47,1
12447.5,1,1,25,2
0,1,6,71,1
21065,0,5,46,1
6894,1,5,26,2
0,0,6,71,1
28725,0,5,65,2
0,1,6,35,1
0,0,6,62,1
0,2,6,88,2
1532,1,6,37,2
0,2,6,46,2
34470,0,6,55,2
324512.2921,1,4,48,2
0,1,6,36,2
10532.5,2,6,25,1
34470,0,5,37,1
34470,0,6,59,1
24895,0,6,61,2
0,1,5,61,1
16277.5,0,6,25,1
10532.5,2,5,63,1
14362.5,1,3,54,2
18192.5,0,6,39,1
0,1,6,69,2
4213,2,6,28,1
0,0,6,29,1
0,1,2,85,1
12447.5,2,3,31,1
1532,1,6,34,2
0,0,4,37,1
0,1,6,46,1
0,0,5,30,1
0,0,5,75,2
21065,0,2,55,1
51705,2,1,48,1
0,1,6,82,1
0,0,4,53,1
0,1,6,32,1
24895,0,5,32,2
0,0,6,31,1
8617.5,1,5,25,2
3447,1,6,44,2
0,1,1,54,1
0,0,6,30,2
0,1,6,76,1
1532,0,6,48,1
16277.5,1,6,33,1
0,1,5,26,1
10532.5,2,6,26,1
10532.5,0,6,18,2
0,2,6,61,1
0,0,6,57,1
42130,1,2,36,2
28725,0,3,33,2
12447.5,2,3,50,2
0,1,6,65,2
0,0,4,50,2
0,1,6,48,2
0,2,6,80,1
0,1,6,80,2
0,1,6,70,1
0,1,6,76,2
28725,1,3,69,2
0,1,6,47,2
42130,0,3,68,1
0,1,6,79,2
5745,1,6,67,2
0,1,5,62,2
0,0,6,58,2
0,1,2,19,2
14362.5,2,2,35,2
0,0,6,36,2
0,2,9,86,1
34470,2,6,63,1
0,2,1,22,1
0,0,6,23,2
0,1,3,19,2
16277.5,2,4,51,1
0,0,5,82,1
16277.5,1,1,27,2
18192.5,2,3,68,1
8617.5,0,3,23,1
0,2,5,38,1
0,2,6,65,1
0,2,6,72,1
0,2,6,80,1
21065,1,5,34,1
0,1,6,56,2
0,1,6,57,1
0,0,4,61,1
0,1,5,53,1
0,1,6,79,1
6894,0,5,46,2
0,2,6,45,1
0,0,6,50,2
8617.5,2,6,63,1
0,0,6,38,2
0,1,6,51,2
34470,0,2,62,2
0,2,6,47,1
10532.5,1,3,29,2
16277.5,0,2,37,1
28725,1,2,39,1
63195,1,3,46,2
21065,0,6,55,1
4979,0,1,27,1
0,1,6,45,1
0,1,4,71,1
0,1,6,74,2
0,0,3,18,1
0,1,3,67,2
42130,1,3,49,1
0,0,6,74,1
24895,1,6,67,1
0,1,6,35,1
24895,0,6,36,1
0,2,6,58,1
6894,1,2,21,1
4213,0,4,21,1
18192.5,1,6,43,1
34470,0,6,41,1
24895,1,6,44,1
0,1,6,51,2
0,0,4,22,2
0,1,6,30,1
1532,0,5,18,2
0,2,6,73,2
0,0,3,38,1
0,1,6,87,1
8617.5,0,6,39,2
0,9,6,74,2
21065,1,3,31,2
21065,1,3,37,2
0,1,5,31,1
18192.5,1,5,24,1
51705,2,6,32,2
324512.2921,0,6,50,1
0,0,4,20,2
0,1,6,71,2
0,0,6,88,2
6894,1,6,24,1
0,1,6,56,2
324512.2921,0,5,56,2
0,1,3,49,2
0,2,6,48,1
51705,2,3,59,1
0,0,9,82,2
383,0,6,65,1
0,1,6,79,1
63195,2,6,49,1
24895,1,6,36,1
324512.2921,1,6,55,1
0,0,4,59,2
12447.5,1,5,52,1
0,1,3,74,2
42130,1,6,33,1
0,0,3,44,1
0,1,6,48,1
34470,2,6,32,1
0,1,5,39,1
76600,0,6,39,1
0,1,6,54,2
0,1,5,71,2
28725,2,6,35,1
51705,1,6,38,1
10532.5,0,6,52,2
10532.5,2,6,73,1
0,0,6,75,2
0,1,6,89,2
51705,1,6,46,1
34470,0,6,37,1
0,1,6,84,2
0,2,6,55,2
0,2,6,73,1
21065,2,6,41,1
0,1,6,51,2
0,2,3,65,1
0,1,5,58,1
0,0,6,71,2
21065,1,6,32,2
18192.5,1,6,43,1
0,1,6,28,2
12447.5,0,6,46,2
0,2,6,49,1
14362.5,2,6,75,1
18192.5,1,3,54,2
1532,1,6,52,2
1532,0,3,21,1
14362.5,0,6,32,1
28725,2,6,36,2
0,0,6,80,1
10532.5,1,6,54,1
6894,0,6,63,1
18192.5,2,6,53,1
0,0,5,62,2
14362.5,1,3,61,1
0,0,6,75,1
34470,2,6,65,2
0,2,6,70,1
0,1,4,78,1
0,1,6,35,1
0,2,6,70,2
6894,1,6,32,2
0,2,6,78,1
0,1,6,86,2
24895,0,3,59,1
0,1,2,27,2
324512.2921,0,6,60,1
4213,1,3,23,1
14362.5,0,6,61,1
0,1,6,65,1
34470,2,6,51,1
51705,2,6,38,1
51705,2,6,39,1
8617.5,2,3,25,2
2681,1,5,33,1
12447.5,0,5,30,1
0,1,5,30,1
24895,1,6,36,1
12447.5,2,1,35,1
0,0,6,23,2
51705,2,3,27,1
0,0,6,75,1
21065,1,3,31,2
21065,1,6,41,2
0,1,3,71,2
0,1,6,80,2
10532.5,0,3,33,2
34470,2,4,37,1
63195,0,6,44,1
1532,1,6,33,1
0,0,6,45,1
4979,2,5,25,1
28725,1,5,26,2
21065,0,1,36,2
42130,1,6,86,1
21065,0,5,72,2
0,1,3,36,2
383,0,6,64,1
12447.5,1,6,49,2
0,0,3,87,2
0,1,6,52,1
0,0,3,24,2
0,1,5,61,1
0,1,6,32,2
34470,0,5,42,2
0,2,3,89,2
3447,2,6,59,2
3447,0,4,73,2
0,1,6,70,1
34470,1,5,48,2
3447,0,6,21,2
1532,2,2,26,2
8617.5,2,6,74,2
0,1,5,68,1
0,2,5,69,2
14362.5,2,6,59,1
24895,2,3,56,1
63195,1,3,60,1
6894,1,2,54,1
12447.5,0,2,34,2
24895,2,6,35,1
51705,1,6,61,2
2681,0,5,79,1
0,1,6,78,1
0,1,5,33,1
12447.5,2,1,39,1
8617.5,2,5,36,1
14362.5,2,5,32,2
10532.5,0,6,74,2
28725,1,4,61,2
42130,0,3,29,1
42130,2,6,32,1
18192.5,0,6,32,2
28725,1,6,29,1
42130,1,5,46,1
10532.5,0,5,28,1
42130,2,6,47,1
12447.5,2,3,26,1
12447.5,1,6,79,2
10532.5,0,6,39,2
0,1,6,79,1
21065,0,5,57,1
0,2,1,49,1
0,1,6,82,2
0,0,6,55,1
16277.5,2,2,51,1
0,1,6,73,1
6894,0,6,78,2
0,1,3,60,2
0,0,6,62,1
0,1,6,65,1
0,0,6,44,2
0,0,6,20,2
0,2,6,62,1
16277.5,2,6,55,1
0,2,6,71,1
0,1,6,71,2
42130,0,5,33,2
0,2,6,56,2
63195,2,6,44,2
14362.5,0,5,51,2
0,1,6,64,1
0,0,5,76,1
0,2,6,54,1
0,0,5,56,1
0,0,6,89,1
4213,1,6,36,1
0,2,6,87,2
14362.5,2,6,44,2
16277.5,2,6,26,1
10532.5,0,6,25,1
8617.5,8,6,60,2
42130,1,6,47,1
0,1,6,74,2
21065,1,6,28,2
0,1,6,54,2
76600,0,6,66,2
0,1,6,66,1
1532,2,6,31,2
8617.5,1,6,44,2
21065,2,6,45,1
0,1,6,51,2
0,1,6,61,1
21065,1,6,23,1
18192.5,1,3,33,1
0,2,6,77,1
16277.5,1,6,28,1
0,0,6,55,2
1532,1,6,56,1
8617.5,1,6,29,1
0,0,6,19,2
21065,1,1,61,2
2681,2,6,31,1
1532,1,6,25,2
0,1,6,68,2
10532.5,0,6,62,2
0,0,6,56,1
0,1,6,52,2
14362.5,1,6,39,2
0,0,6,57,2
0,1,6,65,2
1532,0,6,24,2
5745,1,6,43,2
0,2,3,23,1
0,0,6,57,2
0,2,6,39,2
0,1,6,21,2
0,0,6,67,2
0,2,6,66,2
0,0,6,23,1
24895,1,6,41,2
0,2,6,48,2
0,0,6,41,2
0,2,6,61,2
8617.5,1,6,56,1
0,0,6,34,2
51705,1,1,56,1
34470,0,3,47,1
0,0,6,44,2
12447.5,2,6,30,1
0,0,6,73,1
0,8,6,81,2
0,2,2,70,2
28725,0,6,33,1
5745,1,6,21,1
24895,2,6,39,1
0,0,1,65,1
34470,1,6,34,1
0,1,6,73,1
0,0,6,32,1
3447,1,3,44,2
0,0,6,66,1
1532,2,5,30,2
0,2,6,31,2
0,0,1,21,2
63195,1,5,50,1
24895,0,6,49,2
16277.5,2,6,71,1
0,0,2,53,1
42130,1,6,58,1
14362.5,0,1,40,1
18192.5,2,3,45,1
34470,0,3,62,2
18192.5,1,5,28,1
0,0,6,74,1
34470,2,6,60,1
34470,0,5,42,1
76600,2,6,36,1
34470,1,6,50,1
0,1,1,63,1
4979,2,2,20,1
0,0,6,71,1
4979,1,6,50,1
0,1,3,23,2
51705,0,3,65,1
0,2,3,60,1
0,0,6,69,1
0,1,8,78,1
0,1,1,25,1
10532.5,0,3,61,2
0,1,6,53,2
42130,2,5,48,2
14362.5,0,5,37,2
0,1,3,22,2
