"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"32",1986,"1986-05-23","Cobra","Warner Bros.","USA","R","Action",2.5e+07,49042224,55250000,108383315.04,53133315.04,87,54851,5.7,"George P. Cosmatos","Sylvester Stallone","Paula Gosling"
"34",1986,"1986-10-31","The Mission","Warner Bros.","UK","PG","Adventure",24500000,17218023,54145000,38051830.83,-16093169.17,125,47497,7.5,"Roland Joffé","Robert De Niro","Robert Bolt"
"35",1986,"1986-10-17","The Color of Money","Touchstone Pictures","USA","R","Drama",13800000,52293982,30498000,115569700.22,85071700.22,119,62495,7,"Martin Scorsese","Paul Newman","Walter Tevis"
"36",1986,"1986-06-20","The Karate Kid Part II","Columbia Pictures Corporation","USA","PG","Action",0,115103979,0,254379793.59,254379793.59,113,58370,5.9,"John G. Avildsen","Pat Morita","Robert Mark Kamen"
"37",1986,"1986-09-26","The Boy Who Could Fly","Lorimar Productions","USA","PG","Drama",0,7177431,0,15862122.51,15862122.51,114,4623,6.5,"Nick Castle","Lucy Deakins","Nick Castle"
"38",1986,"1986-02-21","The Hitcher","HBO Films","USA","R","Thriller",6e+06,5844868,13260000,12917158.28,-342841.720000001,97,36191,7.3,"Robert Harmon","Rutger Hauer","Eric Red"
"39",1986,"1986-03-26","The Money Pit","Amblin Entertainment","USA","PG","Comedy",1e+07,37499651,22100000,82874228.71,60774228.71,91,41278,6.3,"Richard Benjamin","Tom Hanks","David Giler"
"40",1986,"1986-08-01","Jason Lives: Friday the 13th Part VI","Paramount Pictures","USA","R","Horror",3e+06,19472057,6630000,43033245.97,36403245.97,86,28310,5.9,"Tom McLoughlin","Thom Mathews","Tom McLoughlin"
"41",1986,"1986-11-26","The Mosquito Coast","The Saul Zaentz Company","USA","PG","Adventure",2.5e+07,14302779,55250000,31609141.59,-23640858.41,117,23076,6.6,"Peter Weir","Harrison Ford","Paul Theroux"
"42",1986,"1986-11-21","An American Tail","Universal Pictures","USA","G","Animation",0,47483002,0,104937434.42,104937434.42,80,41004,6.9,"Don Bluth","Dom DeLuise","Judy Freudberg"
"43",1986,"1986-11-07","Sid and Nancy","Initial Pictures","UK","R","Biography",4e+06,2826523,8840000,6246615.83,-2593384.17,112,25032,7.1,"Alex Cox","Gary Oldman","Alex Cox"
"44",1986,"1986-12-19","King Kong Lives","De Laurentiis Entertainment Group (DEG)","USA","PG-13","Action",1e+07,4711220,22100000,10411796.2,-11688203.8,105,4401,3.8,"John Guillermin","Brian Kerwin","Ronald Shusett"
"45",1986,"1986-10-24","From Beyond","Empire Pictures","USA","R","Horror",4500000,1261000,9945000,2786810,-7158190,86,16636,6.7,"Stuart Gordon","Jeffrey Combs","H.P. Lovecraft"
"46",1986,"1986-10-10","Peggy Sue Got Married","TriStar Pictures","USA","PG-13","Comedy",1.8e+07,41382841,39780000,91456078.61,51676078.61,103,28529,6.3,"Francis Ford Coppola","Kathleen Turner","Jerry Leichtling"
